exceedance_probability_pct,discharge_m3s,source_revision,source_page_pdf
1,37.79,Review Basic Design 2018,158
5,33.42,Review Basic Design 2018,158
10,28.08,Review Basic Design 2018,158
15,24.34,Review Basic Design 2018,158
20,21.67,Review Basic Design 2018,158
25,20.17,Review Basic Design 2018,158
30,19.49,Review Basic Design 2018,158
35,18.88,Review Basic Design 2018,158
40,18.35,Review Basic Design 2018,158
45,17.83,Review Basic Design 2018,158
50,17.26,Review Basic Design 2018,158
55,16.22,Review Basic Design 2018,158
60,15.11,Review Basic Design 2018,158
65,13.94,Review Basic Design 2018,158
70,12.48,Review Basic Design 2018,158
75,11.18,Review Basic Design 2018,158
80,9.67,Review Basic Design 2018,158
85,8.32,Review Basic Design 2018,158
90,7.07,Review Basic Design 2018,158
95,5.70,Review Basic Design 2018,158
100,2.83,Review Basic Design 2018,158
