date,rain_mm,temperature_mean_c,temperature_max_c,temperature_min_c,wind_speed_2m_mps,relative_humidity_2m_pct,source,observation_type
1981-01-01,11.79,22.73,25.97,20.35,1.63,91.19,NASA POWER Daily,gridded_meteorological_proxy
1981-01-02,14.85,22.76,25.23,21.03,1.24,91.67,NASA POWER Daily,gridded_meteorological_proxy
1981-01-03,4.46,22.63,26.13,20.26,1.22,90.44,NASA POWER Daily,gridded_meteorological_proxy
1981-01-04,11.68,22.71,26.18,20.39,1.63,87.22,NASA POWER Daily,gridded_meteorological_proxy
1981-01-05,1.63,22.21,25.69,19.74,1.74,88.67,NASA POWER Daily,gridded_meteorological_proxy
1981-01-06,2.81,22.83,26.43,20.0,1.36,86.75,NASA POWER Daily,gridded_meteorological_proxy
1981-01-07,11.64,22.75,26.88,19.71,1.63,88.25,NASA POWER Daily,gridded_meteorological_proxy
1981-01-08,23.74,23.04,27.1,19.76,1.53,85.77,NASA POWER Daily,gridded_meteorological_proxy
1981-01-09,10.0,22.86,26.07,20.26,1.96,88.55,NASA POWER Daily,gridded_meteorological_proxy
1981-01-10,2.83,23.13,26.68,20.32,1.7,88.84,NASA POWER Daily,gridded_meteorological_proxy
1981-01-11,1.66,22.95,25.54,21.06,1.72,89.43,NASA POWER Daily,gridded_meteorological_proxy
1981-01-12,0.15,22.8,26.21,20.72,1.61,87.29,NASA POWER Daily,gridded_meteorological_proxy
1981-01-13,0.87,22.81,26.58,20.13,1.85,86.52,NASA POWER Daily,gridded_meteorological_proxy
1981-01-14,0.23,22.68,26.06,19.93,1.59,86.93,NASA POWER Daily,gridded_meteorological_proxy
1981-01-15,2.69,22.82,26.26,20.49,1.33,88.8,NASA POWER Daily,gridded_meteorological_proxy
1981-01-16,1.24,23.44,27.36,20.11,1.6,87.19,NASA POWER Daily,gridded_meteorological_proxy
1981-01-17,15.44,22.46,24.31,21.09,1.49,94.31,NASA POWER Daily,gridded_meteorological_proxy
1981-01-18,7.13,23.49,26.82,21.52,1.59,89.98,NASA POWER Daily,gridded_meteorological_proxy
1981-01-19,42.86,23.15,26.17,21.18,1.06,90.13,NASA POWER Daily,gridded_meteorological_proxy
1981-01-20,42.79,23.35,26.36,21.5,0.53,89.07,NASA POWER Daily,gridded_meteorological_proxy
1981-01-21,31.33,22.94,25.65,21.38,0.84,91.85,NASA POWER Daily,gridded_meteorological_proxy
1981-01-22,8.16,22.56,25.53,20.84,0.74,90.42,NASA POWER Daily,gridded_meteorological_proxy
1981-01-23,2.6,23.08,26.0,20.83,0.94,89.02,NASA POWER Daily,gridded_meteorological_proxy
1981-01-24,3.87,23.42,26.62,21.18,0.87,89.35,NASA POWER Daily,gridded_meteorological_proxy
1981-01-25,0.88,22.93,25.66,21.02,0.89,87.53,NASA POWER Daily,gridded_meteorological_proxy
1981-01-26,10.83,23.1,27.18,19.65,0.92,87.31,NASA POWER Daily,gridded_meteorological_proxy
1981-01-27,6.17,22.89,25.39,21.25,1.37,89.89,NASA POWER Daily,gridded_meteorological_proxy
1981-01-28,26.45,22.15,24.76,20.38,1.45,91.93,NASA POWER Daily,gridded_meteorological_proxy
1981-01-29,25.95,22.78,26.32,20.11,1.34,89.15,NASA POWER Daily,gridded_meteorological_proxy
1981-01-30,21.15,23.45,27.31,20.14,1.22,86.72,NASA POWER Daily,gridded_meteorological_proxy
1981-01-31,6.57,23.65,26.64,21.44,0.84,88.89,NASA POWER Daily,gridded_meteorological_proxy
1981-02-01,0.02,23.52,26.52,20.8,1.01,85.59,NASA POWER Daily,gridded_meteorological_proxy
1981-02-02,8.44,23.62,27.68,20.7,1.61,86.29,NASA POWER Daily,gridded_meteorological_proxy
1981-02-03,21.0,22.09,24.22,20.37,1.96,93.02,NASA POWER Daily,gridded_meteorological_proxy
1981-02-04,18.73,22.81,26.03,20.28,1.79,89.99,NASA POWER Daily,gridded_meteorological_proxy
1981-02-05,16.41,23.26,26.77,20.7,1.15,89.01,NASA POWER Daily,gridded_meteorological_proxy
1981-02-06,18.76,23.01,25.61,21.41,1.14,92.33,NASA POWER Daily,gridded_meteorological_proxy
