valid_time_wib,source_datetime,kategori,suhu_C,RH_%,wind_kmh,raw_condition
2026-09-17T09:00:00+07:00,2026-09-17 09:00:00,Berawan,20.0,89.0,6.5,Berawan
2026-09-17T12:00:00+07:00,2026-09-17 12:00:00,Hujan Ringan,23.0,74.0,8.2,Hujan Ringan
2026-09-17T15:00:00+07:00,2026-09-17 15:00:00,Hujan Ringan,19.0,95.0,7.4,Hujan Ringan
2026-09-17T18:00:00+07:00,2026-09-17 18:00:00,Berawan,18.0,94.0,4.4,Berawan
2026-09-17T21:00:00+07:00,2026-09-17 21:00:00,Berawan,17.0,96.0,4.9,Berawan
2026-09-18T00:00:00+07:00,2026-09-18 00:00:00,Berawan,16.0,98.0,4.8,Berawan
2026-09-18T03:00:00+07:00,2026-09-18 03:00:00,Berawan,16.0,92.0,3.2,Berawan
2026-09-18T06:00:00+07:00,2026-09-18 06:00:00,Berawan,17.0,82.0,0.6,Berawan
2026-09-18T09:00:00+07:00,2026-09-18 09:00:00,Berawan,22.0,72.0,1.0,Berawan
2026-09-18T12:00:00+07:00,2026-09-18 12:00:00,Hujan Ringan,20.0,91.0,6.0,Hujan Ringan
2026-09-18T15:00:00+07:00,2026-09-18 15:00:00,Hujan Ringan,20.0,90.0,5.8,Hujan Ringan
2026-09-18T18:00:00+07:00,2026-09-18 18:00:00,Hujan Ringan,18.0,98.0,3.5,Hujan Ringan
2026-09-18T21:00:00+07:00,2026-09-18 21:00:00,Berawan,17.0,98.0,4.9,Berawan
2026-09-19T00:00:00+07:00,2026-09-19 00:00:00,Berawan,17.0,98.0,5.5,Berawan
2026-09-19T03:00:00+07:00,2026-09-19 03:00:00,Berawan,16.0,98.0,6.5,Berawan
2026-09-19T06:00:00+07:00,2026-09-19 06:00:00,Berawan,17.0,98.0,5.9,Berawan
2026-09-19T09:00:00+07:00,2026-09-19 09:00:00,Berawan,20.0,91.0,5.9,Berawan
2026-09-19T12:00:00+07:00,2026-09-19 12:00:00,Berawan,21.0,79.0,8.4,Berawan
2026-09-19T15:00:00+07:00,2026-09-19 15:00:00,Berawan,20.0,83.0,8.4,Berawan
2026-09-19T18:00:00+07:00,2026-09-19 18:00:00,Hujan Lebat,18.0,96.0,2.1,Petir
2026-09-19T21:00:00+07:00,2026-09-19 21:00:00,Hujan Lebat,17.0,96.0,2.1,Petir
