date,location_slug,rain_mm
2000-01-01,gpm1,44.08
2000-01-01,gpm2,42.825
2000-01-01,gpm3,33.9
2000-01-01,gpm4,44.835
2000-01-01,gpm5,52.22
2000-01-01,gpm6,47.79
2000-01-02,gpm1,25.08
2000-01-02,gpm2,27.215
2000-01-02,gpm3,26.91
2000-01-02,gpm4,19.91
2000-01-02,gpm5,20.08
2000-01-02,gpm6,19.575
2000-01-03,gpm1,14.02
2000-01-03,gpm2,18.815
2000-01-03,gpm3,25.73
2000-01-03,gpm4,15.69
2000-01-03,gpm5,15.69
2000-01-03,gpm6,18.515
2000-01-04,gpm1,8.285
2000-01-04,gpm2,9.725
2000-01-04,gpm3,15.25
2000-01-04,gpm4,8.615
2000-01-04,gpm5,7.365
2000-01-04,gpm6,9.345
2000-01-05,gpm1,18.42
2000-01-05,gpm2,22.135
2000-01-05,gpm3,26.95
2000-01-05,gpm4,16.01
2000-01-05,gpm5,16.715
2000-01-05,gpm6,20.75
2000-01-06,gpm1,5.93
2000-01-06,gpm2,6.415
2000-01-06,gpm3,4.885
2000-01-06,gpm4,12.295
2000-01-06,gpm5,5.33
2000-01-06,gpm6,3.815
2000-01-07,gpm1,0.71
2000-01-07,gpm2,1.1
2000-01-07,gpm3,1.76
2000-01-07,gpm4,2.375
2000-01-07,gpm5,3.44
2000-01-07,gpm6,3.55
2000-01-08,gpm1,19.595
2000-01-08,gpm2,10.485
2000-01-08,gpm3,5.785
2000-01-08,gpm4,24.89
2000-01-08,gpm5,36.86
2000-01-08,gpm6,7.945
2000-01-09,gpm1,0.36
2000-01-09,gpm2,0.04
2000-01-09,gpm3,0.085
2000-01-09,gpm4,0.355
2000-01-09,gpm5,0.165
2000-01-09,gpm6,0.18
2000-01-10,gpm1,0.09
2000-01-10,gpm2,0.0
2000-01-10,gpm3,0.0
2000-01-10,gpm4,2.01
2000-01-10,gpm5,0.88
2000-01-10,gpm6,0.0
2000-01-11,gpm1,1.09
2000-01-11,gpm2,1.065
2000-01-11,gpm3,0.675
2000-01-11,gpm4,1.725
2000-01-11,gpm5,3.745
2000-01-11,gpm6,1.31
2000-01-12,gpm1,6.8
2000-01-12,gpm2,0.885
2000-01-12,gpm3,0.7
2000-01-12,gpm4,1.725
2000-01-12,gpm5,0.435
2000-01-12,gpm6,0.105
2000-01-13,gpm1,1.39
2000-01-13,gpm2,0.2
2000-01-13,gpm3,0.075
2000-01-13,gpm4,0.975
2000-01-13,gpm5,0.25
2000-01-13,gpm6,0.055
2000-01-14,gpm1,0.145
2000-01-14,gpm2,0.0
2000-01-14,gpm3,0.0
2000-01-14,gpm4,0.215
2000-01-14,gpm5,0.0
2000-01-14,gpm6,0.0
2000-01-15,gpm1,0.035
2000-01-15,gpm2,0.025
2000-01-15,gpm3,0.0
2000-01-15,gpm4,0.0
2000-01-15,gpm5,0.0
2000-01-15,gpm6,0.0
2000-01-16,gpm1,0.135
2000-01-16,gpm2,0.015
2000-01-16,gpm3,0.1
2000-01-16,gpm4,0.435
2000-01-16,gpm5,0.895
2000-01-16,gpm6,0.2
2000-01-17,gpm1,8.885
2000-01-17,gpm2,22.615
2000-01-17,gpm3,14.02
2000-01-17,gpm4,8.1
2000-01-17,gpm5,12.25
2000-01-17,gpm6,50.335
2000-01-18,gpm1,2.21
2000-01-18,gpm2,2.73
2000-01-18,gpm3,4.715
2000-01-18,gpm4,4.395
2000-01-18,gpm5,6.34
2000-01-18,gpm6,6.375
2000-01-19,gpm1,9.175
2000-01-19,gpm2,2.345
2000-01-19,gpm3,2.56
2000-01-19,gpm4,1.945
2000-01-19,gpm5,2.06
2000-01-19,gpm6,1.84
2000-01-20,gpm1,4.865
2000-01-20,gpm2,5.235
2000-01-20,gpm3,6.24
2000-01-20,gpm4,3.055
2000-01-20,gpm5,2.87
2000-01-20,gpm6,3.315
