location_slug,target_date,jam,dominant_category,confidence_score,confidence_label,sources_used,sources_expected,coverage_fraction,weight_total,temp_mean,temp_std,rh_mean,rh_std,rain_mean,rain_std,heat_index_mean,heat_index_std,gap_mean_minutes,gap_max_minutes,pct_cerah,pct_cerah_berawan,pct_berawan,pct_hujan_ringan,pct_hujan_sedang,pct_hujan_lebat
plta_redelong,2026-07-07,06:00,Berawan,80.7,Tinggi,7,8,0.875,6.78,18.23,0.79,97.37,1.66,0.0,0.0,18.23,0.79,0.0,0.0,26.5,15.5,58.0,0.0,0.0,0.0
plta_redelong,2026-07-07,09:00,Berawan,80.7,Tinggi,7,8,0.875,6.78,23.54,0.89,81.1,2.75,0.02,0.04,23.54,0.89,0.0,0.0,26.5,0.0,58.7,14.7,0.0,0.0
plta_redelong,2026-07-07,12:00,Hujan Ringan,77.9,Sedang,7,8,0.875,6.78,25.21,1.25,75.89,2.46,0.18,0.23,25.21,1.26,0.0,0.0,12.5,0.0,38.8,48.7,0.0,0.0
plta_redelong,2026-07-07,15:00,Hujan Ringan,89.1,Tinggi,8,8,1.0,7.78,24.19,0.76,85.69,6.98,1.04,0.36,24.19,0.76,0.0,0.0,0.0,0.0,8.1,64.3,14.1,13.5
plta_redelong,2026-07-07,18:00,Hujan Ringan,82.4,Tinggi,8,8,1.0,7.78,21.63,0.36,95.09,2.04,2.27,1.7,21.63,0.36,0.0,0.0,0.0,0.0,8.1,39.2,39.2,13.5
plta_redelong,2026-07-08,06:00,Berawan,84.9,Tinggi,8,8,1.0,7.7485,17.34,1.02,91.98,6.93,0.27,0.62,17.34,1.02,0.0,0.0,0.0,23.5,49.4,27.1,0.0,0.0
plta_redelong,2026-07-08,09:00,Berawan,90.9,Tinggi,8,8,1.0,7.7485,21.58,2.06,80.65,12.9,0.11,0.28,21.58,2.06,0.0,0.0,0.0,11.0,76.1,12.9,0.0,0.0
plta_redelong,2026-07-08,12:00,Berawan,92.2,Tinggi,8,8,1.0,7.7485,26.01,1.42,66.0,3.93,0.0,0.0,25.48,0.97,0.0,0.0,0.0,23.5,76.5,0.0,0.0,0.0
plta_redelong,2026-07-08,15:00,Berawan,80.9,Tinggi,8,8,1.0,7.7485,24.13,1.45,78.11,9.12,0.08,0.11,24.13,1.45,0.0,0.0,0.0,11.0,33.3,28.0,14.2,13.6
plta_redelong,2026-07-08,18:00,Berawan,88.9,Tinggi,8,8,1.0,7.7485,22.28,1.33,89.19,0.73,0.39,0.7,22.28,1.33,0.0,0.0,0.0,12.5,64.3,23.2,0.0,0.0
