tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
09-09-2026,00:00,17.0,Berawan,94.0,2.3
09-09-2026,01:00,17.0,Berawan,94.0,2.3
09-09-2026,02:00,17.0,Berawan,94.0,2.3
09-09-2026,03:00,17.0,Cerah Berawan,91.0,2.6
09-09-2026,04:00,17.0,Cerah Berawan,91.0,2.6
09-09-2026,05:00,17.0,Cerah Berawan,91.0,2.6
09-09-2026,06:00,19.0,Cerah,92.0,1.1
09-09-2026,07:00,19.0,Cerah,92.0,1.1
09-09-2026,08:00,19.0,Cerah,92.0,1.1
09-09-2026,09:00,24.0,Berawan,58.0,3.1
09-09-2026,10:00,24.0,Berawan,58.0,3.1
09-09-2026,11:00,24.0,Berawan,58.0,3.1
09-09-2026,12:00,25.0,Berawan,55.0,8.6
09-09-2026,13:00,25.0,Berawan,55.0,8.6
09-09-2026,14:00,25.0,Berawan,55.0,8.6
09-09-2026,15:00,20.0,Hujan Ringan,88.0,9.5
09-09-2026,16:00,20.0,Hujan Ringan,88.0,9.5
09-09-2026,17:00,20.0,Hujan Ringan,88.0,9.5
09-09-2026,18:00,18.0,Udara Kabur,97.0,3.5
09-09-2026,19:00,18.0,Udara Kabur,97.0,3.5
09-09-2026,20:00,18.0,Udara Kabur,97.0,3.5
09-09-2026,21:00,17.0,Cerah,96.0,4.7
09-09-2026,22:00,17.0,Cerah,96.0,4.7
09-09-2026,23:00,17.0,Cerah,96.0,4.7
