jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,85.4,Tinggi,17.32,+/-0.72,91.5,+/-4.79,0.05,+/-0.11,17.32,+/-0.72,0.0,0.0,83.3,16.7,0.0,0.0,0.72,4.79,0.11,0.72,7,0.8571,0.0,0.0
01:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,85.4,Tinggi,17.1,+/-0.78,91.17,+/-5.24,0.05,+/-0.11,17.1,+/-0.78,0.0,0.0,83.3,16.7,0.0,0.0,0.78,5.24,0.11,0.78,7,0.8571,0.0,0.0
02:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,85.4,Tinggi,16.9,+/-0.78,90.83,+/-5.67,0.02,+/-0.04,16.9,+/-0.78,0.0,0.0,83.3,16.7,0.0,0.0,0.78,5.67,0.04,0.78,7,0.8571,0.0,0.0
03:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,81.2,Tinggi,16.76,+/-0.82,90.83,+/-5.76,0.02,+/-0.04,16.76,+/-0.82,0.0,16.7,66.7,16.7,0.0,0.0,0.82,5.76,0.04,0.82,7,0.8571,0.0,0.0
04:00,7,6.6868,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,85.3,Tinggi,17.25,+/-1.55,91.7,+/-4.98,0.02,+/-0.04,17.25,+/-1.55,0.0,29.9,55.1,15.0,0.0,0.0,1.55,4.98,0.04,1.55,7,1.0,25.71,180.0
05:00,7,6.6868,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,93.0,Tinggi,17.16,+/-1.61,93.99,+/-2.36,0.0,+/-0.0,17.16,+/-1.61,0.0,15.0,85.0,0.0,0.0,0.0,1.61,2.36,0.0,1.61,7,1.0,17.14,120.0
06:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,94.0,Tinggi,17.19,+/-1.57,94.24,+/-2.3,0.0,+/-0.0,17.19,+/-1.57,0.0,14.4,85.6,0.0,0.0,0.0,1.57,2.3,0.0,1.57,7,1.0,8.57,60.0
07:00,7,7.2488,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,95.4,Tinggi,17.6,+/-1.31,92.91,+/-1.69,0.0,+/-0.0,17.6,+/-1.31,0.0,13.8,86.2,0.0,0.0,0.0,1.31,1.69,0.0,1.31,7,1.0,0.0,0.0
08:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,94.4,Tinggi,18.61,+/-0.68,87.4,+/-3.5,0.0,+/-0.0,18.61,+/-0.68,0.0,14.4,85.6,0.0,0.0,0.0,0.68,3.5,0.0,0.68,7,1.0,8.57,60.0
09:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,87.2,Tinggi,21.02,+/-1.16,80.75,+/-0.43,0.0,+/-0.0,21.02,+/-1.16,0.0,43.2,56.8,0.0,0.0,0.0,1.16,0.43,0.0,1.16,7,1.0,8.57,60.0
10:00,7,7.2488,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,92.0,Tinggi,22.34,+/-1.09,71.76,+/-2.46,0.0,+/-0.0,22.34,+/-1.09,0.0,27.6,72.4,0.0,0.0,0.0,1.09,2.46,0.0,1.09,7,1.0,0.0,0.0
