jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,80.5,Tinggi,15.37,+/-1.5,96.0,+/-2.77,0.57,+/-0.8,15.37,+/-1.5,0.0,0.0,66.7,33.3,0.0,0.0,1.5,2.77,0.8,1.5,7,0.8571,0.0,0.0
01:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,80.5,Tinggi,15.2,+/-1.57,95.83,+/-3.08,0.52,+/-0.73,15.2,+/-1.57,0.0,0.0,66.7,33.3,0.0,0.0,1.57,3.08,0.73,1.57,7,0.8571,0.0,0.0
02:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,80.7,Tinggi,15.03,+/-1.6,95.5,+/-3.1,0.3,+/-0.51,15.03,+/-1.6,0.0,0.0,66.7,33.3,0.0,0.0,1.6,3.1,0.51,1.6,7,0.8571,0.0,0.0
03:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,81.0,Tinggi,14.92,+/-1.6,96.6,+/-1.85,0.17,+/-0.24,14.92,+/-1.6,0.0,0.0,66.7,33.3,0.0,0.0,1.6,1.85,0.24,1.6,7,0.8571,0.0,0.0
04:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,81.4,Tinggi,14.14,+/-0.77,96.4,+/-2.33,0.12,+/-0.17,14.14,+/-0.77,0.0,0.0,66.7,33.3,0.0,0.0,0.77,2.33,0.17,0.77,7,0.8571,0.0,0.0
05:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,72.7,Sedang,14.58,+/-1.53,95.67,+/-3.14,0.03,+/-0.05,14.58,+/-1.53,0.0,33.3,33.3,33.3,0.0,0.0,1.53,3.14,0.05,1.53,7,0.8571,0.0,0.0
06:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,77.0,Sedang,14.43,+/-1.46,97.2,+/-1.72,0.02,+/-0.04,14.43,+/-1.46,0.0,33.3,50.0,16.7,0.0,0.0,1.46,1.72,0.04,1.46,7,0.8571,0.0,0.0
07:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,77.0,Sedang,14.8,+/-1.38,96.0,+/-2.61,0.02,+/-0.04,14.8,+/-1.38,0.0,33.3,50.0,16.7,0.0,0.0,1.38,2.61,0.04,1.38,7,0.8571,0.0,0.0
08:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,77.2,Sedang,15.94,+/-0.63,88.67,+/-4.99,0.0,+/-0.0,15.94,+/-0.63,0.0,50.0,50.0,0.0,0.0,0.0,0.63,4.99,0.0,0.63,7,0.8571,0.0,0.0
09:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,77.2,Sedang,18.12,+/-0.46,79.67,+/-6.42,0.0,+/-0.0,18.12,+/-0.46,0.0,50.0,50.0,0.0,0.0,0.0,0.46,6.42,0.0,0.46,7,0.8571,0.0,0.0
10:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,77.1,Sedang,20.38,+/-1.01,75.8,+/-3.19,0.02,+/-0.04,20.38,+/-1.01,0.0,33.3,50.0,16.7,0.0,0.0,1.01,3.19,0.04,1.01,7,0.8571,0.0,0.0
11:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,81.1,Tinggi,21.25,+/-1.0,73.4,+/-2.65,0.33,+/-0.36,21.25,+/-1.0,0.0,0.0,33.3,66.7,0.0,0.0,1.0,2.65,0.36,1.0,7,0.8571,0.0,0.0
12:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,80.5,Tinggi,21.7,+/-1.17,69.33,+/-10.87,0.2,+/-0.22,21.7,+/-1.17,0.0,0.0,33.3,66.7,0.0,0.0,1.17,10.87,0.22,1.17,7,0.8571,0.0,0.0
13:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,80.3,Tinggi,21.58,+/-1.37,71.67,+/-11.8,0.2,+/-0.22,21.58,+/-1.37,0.0,0.0,33.3,66.7,0.0,0.0,1.37,11.8,0.22,1.37,7,0.8571,0.0,0.0
14:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,75.6,Sedang,20.83,+/-1.22,77.83,+/-9.06,2.47,+/-1.3,20.83,+/-1.22,0.0,0.0,0.0,50.0,33.3,16.7,1.22,9.06,1.3,1.22,7,0.8571,0.0,0.0
15:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,76.5,Sedang,19.6,+/-1.19,85.83,+/-4.49,2.0,+/-0.68,19.6,+/-1.19,0.0,0.0,0.0,50.0,33.3,16.7,1.19,4.49,0.68,1.19,7,0.8571,0.0,0.0
