tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
28-08-2026,00:00,16.0,Cerah,84.0,4.5
28-08-2026,01:00,16.0,Cerah,84.0,4.5
28-08-2026,02:00,15.0,Cerah Berawan,82.0,5.9
28-08-2026,03:00,15.0,Cerah Berawan,82.0,5.9
28-08-2026,04:00,15.0,Cerah Berawan,82.0,5.9
28-08-2026,05:00,16.0,Berawan,81.0,6.8
28-08-2026,06:00,16.0,Berawan,81.0,6.8
28-08-2026,07:00,16.0,Berawan,81.0,6.8
28-08-2026,08:00,21.0,Cerah,59.0,6.8
28-08-2026,09:00,21.0,Cerah,59.0,6.8
28-08-2026,10:00,21.0,Cerah,59.0,6.8
28-08-2026,11:00,25.0,Cerah Berawan,50.0,15.2
28-08-2026,12:00,25.0,Cerah Berawan,50.0,15.2
28-08-2026,13:00,25.0,Cerah Berawan,50.0,15.2
28-08-2026,14:00,22.0,Berawan,64.0,15.2
28-08-2026,15:00,22.0,Berawan,64.0,15.2
28-08-2026,16:00,22.0,Berawan,64.0,15.2
28-08-2026,17:00,18.0,Berawan,71.0,6.8
28-08-2026,18:00,18.0,Berawan,71.0,6.8
28-08-2026,19:00,18.0,Berawan,71.0,6.8
28-08-2026,20:00,17.0,Berawan,74.0,6.8
28-08-2026,21:00,17.0,Berawan,74.0,6.8
28-08-2026,22:00,17.0,Berawan,74.0,6.8
28-08-2026,23:00,17.0,Berawan,74.0,6.8
