tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
10-08-2026,00:00,16.0,Cerah Berawan,91.0,4.5
10-08-2026,01:00,16.0,Cerah Berawan,91.0,4.5
10-08-2026,02:00,16.0,Cerah Berawan,91.0,4.5
10-08-2026,03:00,15.0,Udara Kabur,91.0,4.8
10-08-2026,04:00,15.0,Udara Kabur,91.0,4.8
10-08-2026,05:00,15.0,Udara Kabur,91.0,4.8
10-08-2026,06:00,18.0,Cerah Berawan,83.0,3.7
10-08-2026,07:00,18.0,Cerah Berawan,83.0,3.7
10-08-2026,08:00,18.0,Cerah Berawan,83.0,3.7
10-08-2026,09:00,22.0,Cerah,62.0,13.6
10-08-2026,10:00,22.0,Cerah,62.0,13.6
10-08-2026,11:00,22.0,Cerah,62.0,13.6
10-08-2026,12:00,24.0,Cerah,55.0,13.6
10-08-2026,13:00,24.0,Cerah,55.0,13.6
10-08-2026,14:00,24.0,Cerah,55.0,13.6
10-08-2026,15:00,22.0,Cerah,62.0,6.8
10-08-2026,16:00,22.0,Cerah,62.0,6.8
10-08-2026,17:00,22.0,Cerah,62.0,6.8
10-08-2026,18:00,17.0,Cerah,83.0,6.8
10-08-2026,19:00,17.0,Cerah,83.0,6.8
10-08-2026,20:00,17.0,Cerah,83.0,6.8
10-08-2026,21:00,16.0,Cerah Berawan,72.0,5.6
10-08-2026,22:00,16.0,Cerah Berawan,72.0,5.6
10-08-2026,23:00,16.0,Cerah Berawan,72.0,5.6
