tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
04-09-2026,00:00,17.0,Berawan,92.0,1.1
04-09-2026,01:00,17.0,Berawan,92.0,1.1
04-09-2026,02:00,17.0,Berawan,92.0,1.1
04-09-2026,03:00,16.0,Berawan,92.0,0.2
04-09-2026,04:00,16.0,Berawan,92.0,0.2
04-09-2026,05:00,16.0,Berawan,92.0,0.2
04-09-2026,06:00,19.0,Cerah Berawan,92.0,0.7
04-09-2026,07:00,19.0,Cerah Berawan,92.0,0.7
04-09-2026,08:00,19.0,Cerah Berawan,92.0,0.7
04-09-2026,09:00,23.0,Cerah Berawan,71.0,2.6
04-09-2026,10:00,23.0,Cerah Berawan,71.0,2.6
04-09-2026,11:00,23.0,Cerah Berawan,71.0,2.6
04-09-2026,12:00,23.0,Cerah Berawan,69.0,1.5
04-09-2026,13:00,23.0,Cerah Berawan,69.0,1.5
04-09-2026,14:00,23.0,Cerah Berawan,69.0,1.5
04-09-2026,15:00,20.0,Cerah Berawan,85.0,2.8
04-09-2026,16:00,20.0,Cerah Berawan,85.0,2.8
04-09-2026,17:00,20.0,Cerah Berawan,85.0,2.8
04-09-2026,18:00,18.0,Cerah Berawan,94.0,2.8
04-09-2026,19:00,18.0,Cerah Berawan,94.0,2.8
04-09-2026,20:00,18.0,Cerah Berawan,94.0,2.8
04-09-2026,21:00,18.0,Cerah Berawan,94.0,0.4
04-09-2026,22:00,18.0,Cerah Berawan,94.0,0.4
04-09-2026,23:00,18.0,Cerah Berawan,94.0,0.4
