jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,89.7,Tinggi,17.75,+/-1.16,93.0,+/-1.53,0.0,+/-0.0,17.75,+/-1.16,0.0,0.0,100.0,0.0,0.0,0.0,1.16,1.53,0.0,1.16,7,0.8571,0.0,0.0
01:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,89.6,Tinggi,17.5,+/-1.25,92.33,+/-2.13,0.0,+/-0.0,17.5,+/-1.25,0.0,0.0,100.0,0.0,0.0,0.0,1.25,2.13,0.0,1.25,7,0.8571,0.0,0.0
02:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,89.7,Tinggi,17.35,+/-1.21,91.8,+/-0.98,0.0,+/-0.0,17.35,+/-1.21,0.0,0.0,100.0,0.0,0.0,0.0,1.21,0.98,0.0,1.21,7,0.8571,0.0,0.0
03:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,89.7,Tinggi,17.15,+/-1.26,90.33,+/-1.25,0.0,+/-0.0,17.15,+/-1.26,0.0,0.0,100.0,0.0,0.0,0.0,1.26,1.25,0.0,1.26,7,0.8571,0.0,0.0
04:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,89.5,Tinggi,17.0,+/-1.41,90.0,+/-2.38,0.0,+/-0.0,17.0,+/-1.41,0.0,0.0,100.0,0.0,0.0,0.0,1.41,2.38,0.0,1.41,7,0.8571,0.0,0.0
05:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,89.5,Tinggi,16.88,+/-1.46,90.0,+/-2.77,0.0,+/-0.0,16.88,+/-1.46,0.0,0.0,100.0,0.0,0.0,0.0,1.46,2.77,0.0,1.46,7,0.8571,0.0,0.0
06:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,89.5,Tinggi,16.83,+/-1.38,89.67,+/-2.69,0.0,+/-0.0,16.83,+/-1.38,0.0,0.0,100.0,0.0,0.0,0.0,1.38,2.69,0.0,1.38,7,0.8571,0.0,0.0
07:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,89.6,Tinggi,17.27,+/-1.26,87.67,+/-2.69,0.0,+/-0.0,17.27,+/-1.26,0.0,0.0,100.0,0.0,0.0,0.0,1.26,2.69,0.0,1.26,7,0.8571,0.0,0.0
08:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,89.7,Tinggi,18.92,+/-0.91,81.33,+/-3.09,0.0,+/-0.0,18.92,+/-0.91,0.0,0.0,100.0,0.0,0.0,0.0,0.91,3.09,0.0,0.91,7,0.8571,0.0,0.0
09:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,89.8,Tinggi,20.92,+/-0.59,73.83,+/-4.63,0.0,+/-0.0,20.92,+/-0.59,0.0,0.0,100.0,0.0,0.0,0.0,0.59,4.63,0.0,0.59,7,0.8571,0.0,0.0
