jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,94.5,Tinggi,17.3,+/-1.08,92.16,+/-2.49,0.0,+/-0.0,17.3,+/-1.08,0.0,13.4,86.6,0.0,0.0,0.0,1.08,2.49,0.0,1.08,7,1.0,8.57,60.0
01:00,7,7.2416,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,94.6,Tinggi,17.1,+/-1.05,91.4,+/-2.65,0.0,+/-0.0,17.1,+/-1.05,0.0,17.1,82.9,0.0,0.0,0.0,1.05,2.65,0.0,1.05,7,1.0,0.0,0.0
02:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,94.5,Tinggi,17.05,+/-1.01,90.3,+/-2.49,0.0,+/-0.0,17.05,+/-1.01,0.0,13.4,86.6,0.0,0.0,0.0,1.01,2.49,0.0,1.01,7,1.0,8.57,60.0
03:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,94.1,Tinggi,16.8,+/-1.22,87.05,+/-6.79,0.0,+/-0.0,16.8,+/-1.22,0.0,13.4,86.6,0.0,0.0,0.0,1.22,6.79,0.0,1.22,7,1.0,8.57,60.0
04:00,7,7.2416,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,94.3,Tinggi,16.68,+/-1.21,86.61,+/-6.41,0.0,+/-0.0,16.68,+/-1.21,0.0,17.1,82.9,0.0,0.0,0.0,1.21,6.41,0.0,1.21,7,1.0,0.0,0.0
05:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,94.2,Tinggi,16.64,+/-1.18,86.33,+/-5.93,0.0,+/-0.0,16.64,+/-1.18,0.0,13.4,86.6,0.0,0.0,0.0,1.18,5.93,0.0,1.18,7,1.0,8.57,60.0
06:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,94.3,Tinggi,16.98,+/-1.12,85.39,+/-4.79,0.0,+/-0.0,16.98,+/-1.12,0.0,13.4,86.6,0.0,0.0,0.0,1.12,4.79,0.0,1.12,7,1.0,8.57,60.0
07:00,7,7.2416,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,94.6,Tinggi,17.35,+/-1.0,84.17,+/-3.79,0.0,+/-0.0,17.35,+/-1.0,0.0,17.1,82.9,0.0,0.0,0.0,1.0,3.79,0.0,1.0,7,1.0,0.0,0.0
08:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,94.4,Tinggi,18.74,+/-0.88,79.33,+/-5.09,0.0,+/-0.0,18.74,+/-0.88,0.0,13.4,86.6,0.0,0.0,0.0,0.88,5.09,0.0,0.88,7,1.0,8.57,60.0
09:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,94.7,Tinggi,21.37,+/-0.83,69.83,+/-1.78,0.0,+/-0.0,21.37,+/-0.83,0.0,13.4,86.6,0.0,0.0,0.0,0.83,1.78,0.0,0.83,7,1.0,8.57,60.0
