date,river_discharge,river_discharge_mean,river_discharge_median,river_discharge_max,river_discharge_min,river_discharge_p25,river_discharge_p75
2026-07-05,20.09,20.09,20.09,20.09,20.09,20.09,20.09
2026-07-06,20.63,19.49,18.16,41.17,17.71,17.88,20.17
2026-07-07,24.47,24.53,24.47,26.54,24.41,24.41,24.47
2026-07-08,19.04,19.09,19.09,19.28,19.04,19.04,19.09
2026-07-09,17.28,17.41,17.32,19.32,17.24,17.28,17.37
2026-07-10,15.75,15.9,15.75,21.7,15.71,15.75,15.79
2026-07-11,12.58,12.58,12.58,12.61,12.58,12.58,12.58
2026-07-12,10.02,10.02,10.02,10.02,10.02,10.02,10.02
2026-07-13,8.18,8.18,8.18,8.18,8.18,8.18,8.18
2026-07-14,6.67,6.67,6.67,6.71,6.66,6.66,6.67
2026-07-15,5.49,5.49,5.49,5.52,5.49,5.49,5.49
2026-07-16,4.48,4.49,4.5,4.5,4.48,4.48,4.5
2026-07-17,4.3,4.3,4.3,4.31,4.3,4.3,4.3
2026-07-18,3.95,3.96,3.95,4.04,3.94,3.95,3.95
2026-07-19,3.95,4.56,3.99,20.13,3.88,3.94,4.16
2026-07-20,5.34,5.4,5.37,6.08,5.31,5.34,5.43
2026-07-21,5.79,7.24,6.32,25.73,5.03,5.54,7.23
2026-07-22,11.16,11.27,9.94,37.28,5.28,8.28,12.49
2026-07-23,12.46,11.93,10.48,29.62,5.56,8.46,13.46
2026-07-24,13.89,12.3,11.47,24.41,5.03,9.21,13.79
2026-07-25,12.46,11.2,10.4,22.44,4.92,7.99,12.83
2026-07-26,10.67,10.09,9.34,19.37,4.53,7.35,11.8
2026-07-27,9.79,9.68,9.29,17.66,5.07,7.44,10.76
2026-07-28,10.48,9.3,8.89,18.86,4.4,6.79,11.61
