tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
05-09-2026,00:00,17.0,Cerah Berawan,93.0,0.1
05-09-2026,01:00,17.0,Cerah Berawan,93.0,0.1
05-09-2026,02:00,17.0,Cerah Berawan,93.0,0.1
05-09-2026,03:00,16.0,Cerah Berawan,95.0,0.6
05-09-2026,04:00,16.0,Cerah Berawan,95.0,0.6
05-09-2026,05:00,16.0,Cerah Berawan,95.0,0.6
05-09-2026,06:00,19.0,Cerah Berawan,92.0,0.2
05-09-2026,07:00,19.0,Cerah Berawan,92.0,0.2
05-09-2026,08:00,19.0,Cerah Berawan,92.0,0.2
05-09-2026,09:00,24.0,Cerah,66.0,2.6
05-09-2026,10:00,24.0,Cerah,66.0,2.6
05-09-2026,11:00,24.0,Cerah,66.0,2.6
05-09-2026,12:00,22.0,Cerah Berawan,79.0,2.6
05-09-2026,13:00,22.0,Cerah Berawan,79.0,2.6
05-09-2026,14:00,22.0,Cerah Berawan,79.0,2.6
05-09-2026,15:00,20.0,Berawan,88.0,1.1
05-09-2026,16:00,20.0,Berawan,88.0,1.1
05-09-2026,17:00,20.0,Berawan,88.0,1.1
05-09-2026,18:00,18.0,Cerah Berawan,96.0,1.1
05-09-2026,19:00,18.0,Cerah Berawan,96.0,1.1
05-09-2026,20:00,18.0,Cerah Berawan,96.0,1.1
05-09-2026,21:00,17.0,Cerah Berawan,97.0,2.1
05-09-2026,22:00,17.0,Cerah Berawan,97.0,2.1
05-09-2026,23:00,17.0,Cerah Berawan,97.0,2.1
