tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
01-09-2026,00:00,17.0,Cerah,84.0,3.4
01-09-2026,01:00,17.0,Cerah,84.0,3.4
01-09-2026,02:00,17.0,Cerah,84.0,3.4
01-09-2026,03:00,16.0,Cerah,84.0,2.5
01-09-2026,04:00,16.0,Cerah,84.0,2.5
01-09-2026,05:00,16.0,Cerah,84.0,2.5
01-09-2026,06:00,19.0,Cerah,80.0,2.0
01-09-2026,07:00,19.0,Cerah,80.0,2.0
01-09-2026,08:00,19.0,Cerah,80.0,2.0
01-09-2026,09:00,23.0,Cerah,62.0,9.6
01-09-2026,10:00,23.0,Cerah,62.0,9.6
01-09-2026,11:00,23.0,Cerah,62.0,9.6
01-09-2026,12:00,22.0,Cerah,73.0,9.6
01-09-2026,13:00,22.0,Cerah,73.0,9.6
01-09-2026,14:00,22.0,Cerah,73.0,9.6
01-09-2026,15:00,19.0,Cerah Berawan,92.0,2.6
01-09-2026,16:00,19.0,Cerah Berawan,92.0,2.6
01-09-2026,17:00,19.0,Cerah Berawan,92.0,2.6
01-09-2026,18:00,18.0,Cerah Berawan,96.0,2.6
01-09-2026,19:00,18.0,Cerah Berawan,96.0,2.6
01-09-2026,20:00,18.0,Cerah Berawan,96.0,2.6
01-09-2026,21:00,17.0,Cerah Berawan,96.0,3.2
01-09-2026,22:00,17.0,Cerah Berawan,96.0,3.2
01-09-2026,23:00,17.0,Cerah Berawan,96.0,3.2
