jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,85.3,Tinggi,19.22,+/-1.44,93.0,+/-2.61,0.0,+/-0.0,19.22,+/-1.44,0.0,16.7,83.3,0.0,0.0,0.0,1.44,2.61,0.0,1.44,7,0.8571,0.0,0.0
01:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,85.3,Tinggi,18.95,+/-1.57,93.4,+/-2.58,0.0,+/-0.0,18.95,+/-1.57,0.0,16.7,83.3,0.0,0.0,0.0,1.57,2.58,0.0,1.57,7,0.8571,0.0,0.0
02:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,85.3,Tinggi,18.68,+/-1.56,93.0,+/-2.76,0.0,+/-0.0,18.68,+/-1.56,0.0,16.7,83.3,0.0,0.0,0.0,1.56,2.76,0.0,1.56,7,0.8571,0.0,0.0
03:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,85.1,Tinggi,18.5,+/-1.42,90.17,+/-5.98,0.0,+/-0.0,18.5,+/-1.42,0.0,16.7,83.3,0.0,0.0,0.0,1.42,5.98,0.0,1.42,7,0.8571,0.0,0.0
04:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,81.2,Tinggi,18.47,+/-1.41,92.0,+/-2.76,0.0,+/-0.0,18.47,+/-1.41,0.0,33.3,66.7,0.0,0.0,0.0,1.41,2.76,0.0,1.41,7,0.8571,0.0,0.0
05:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,85.4,Tinggi,18.3,+/-1.28,92.6,+/-2.87,0.0,+/-0.0,18.3,+/-1.28,0.0,16.7,83.3,0.0,0.0,0.0,1.28,2.87,0.0,1.28,7,0.8571,0.0,0.0
06:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,89.6,Tinggi,18.25,+/-1.26,93.2,+/-2.93,0.0,+/-0.0,18.25,+/-1.26,0.0,0.0,100.0,0.0,0.0,0.0,1.26,2.93,0.0,1.26,7,0.8571,0.0,0.0
07:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,85.5,Tinggi,18.75,+/-1.12,91.2,+/-2.79,0.0,+/-0.0,18.75,+/-1.12,0.0,16.7,83.3,0.0,0.0,0.0,1.12,2.79,0.0,1.12,7,0.8571,0.0,0.0
08:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,89.7,Tinggi,20.68,+/-0.86,82.33,+/-4.27,0.0,+/-0.0,20.68,+/-0.86,0.0,0.0,100.0,0.0,0.0,0.0,0.86,4.27,0.0,0.86,7,0.8571,0.0,0.0
09:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,89.8,Tinggi,23.32,+/-0.65,71.67,+/-4.19,0.0,+/-0.0,23.32,+/-0.65,0.0,0.0,100.0,0.0,0.0,0.0,0.65,4.19,0.0,0.65,7,0.8571,0.0,0.0
