jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,81.6,Tinggi,19.4,+/-0.55,95.0,+/-2.52,0.0,+/-0.0,19.4,+/-0.55,0.0,33.3,66.7,0.0,0.0,0.0,0.55,2.52,0.0,0.55,7,0.8571,0.0,0.0
01:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,76.8,Sedang,19.6,+/-1.23,95.8,+/-0.75,0.27,+/-0.6,19.6,+/-1.23,0.0,33.3,50.0,16.7,0.0,0.0,1.23,0.75,0.6,1.23,7,0.8571,0.0,0.0
02:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,76.8,Sedang,19.42,+/-1.15,94.5,+/-1.89,0.25,+/-0.56,19.42,+/-1.15,0.0,33.3,50.0,16.7,0.0,0.0,1.15,1.89,0.56,1.15,7,0.8571,0.0,0.0
03:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,77.1,Sedang,19.32,+/-1.15,93.5,+/-2.69,0.03,+/-0.07,19.32,+/-1.15,0.0,33.3,50.0,16.7,0.0,0.0,1.15,2.69,0.07,1.15,7,0.8571,0.0,0.0
04:00,7,6.6868,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,93.1,Tinggi,19.15,+/-1.05,92.83,+/-3.76,0.07,+/-0.15,19.15,+/-1.05,0.0,0.0,85.0,15.0,0.0,0.0,1.05,3.76,0.15,1.05,7,1.0,25.71,180.0
05:00,7,6.6868,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,96.9,Tinggi,19.0,+/-1.0,91.52,+/-5.06,0.0,+/-0.0,19.0,+/-1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,5.06,0.0,1.0,7,1.0,17.14,120.0
06:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,90.5,Tinggi,18.87,+/-0.97,90.93,+/-5.19,0.0,+/-0.0,18.87,+/-0.97,0.0,28.8,71.2,0.0,0.0,0.0,0.97,5.19,0.0,0.97,7,1.0,8.57,60.0
07:00,7,7.2488,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,95.4,Tinggi,19.07,+/-0.84,90.31,+/-4.75,0.0,+/-0.0,19.07,+/-0.84,0.0,13.8,86.2,0.0,0.0,0.0,0.84,4.75,0.0,0.84,7,1.0,0.0,0.0
08:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,90.5,Tinggi,20.6,+/-1.27,86.75,+/-3.37,0.0,+/-0.0,20.6,+/-1.27,0.0,28.8,71.2,0.0,0.0,0.0,1.27,3.37,0.0,1.27,7,1.0,8.57,60.0
09:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,83.3,Tinggi,23.16,+/-1.25,75.68,+/-5.8,0.0,+/-0.0,23.16,+/-1.25,27.9,28.8,43.2,0.0,0.0,0.0,1.25,5.8,0.0,1.25,7,1.0,8.57,60.0
10:00,7,7.2488,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,83.9,Tinggi,24.53,+/-1.39,68.83,+/-5.12,0.02,+/-0.04,24.83,+/-2.05,17.2,41.4,27.6,13.8,0.0,0.0,1.39,5.12,0.04,2.05,7,1.0,0.0,0.0
11:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,83.0,Tinggi,25.42,+/-1.54,66.31,+/-5.38,0.32,+/-0.35,24.92,+/-1.02,13.5,0.0,43.2,43.2,0.0,0.0,1.54,5.38,0.35,1.02,7,1.0,8.57,60.0
12:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,90.2,Tinggi,25.62,+/-1.85,70.8,+/-3.13,0.42,+/-0.32,25.08,+/-1.42,0.0,0.0,27.9,72.1,0.0,0.0,1.85,3.13,0.32,1.42,7,1.0,8.57,60.0
13:00,7,7.2488,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,86.6,Tinggi,25.02,+/-1.7,74.41,+/-6.83,0.9,+/-0.65,24.59,+/-1.42,0.0,0.0,31.0,55.2,0.0,13.8,1.7,6.83,0.65,1.42,7,1.0,0.0,0.0
14:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,81.7,Tinggi,24.45,+/-1.27,78.76,+/-8.09,2.3,+/-1.93,24.45,+/-1.27,0.0,0.0,27.9,43.2,14.4,14.4,1.27,8.09,1.93,1.27,7,1.0,8.57,60.0
15:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,86.4,Tinggi,24.58,+/-0.91,82.54,+/-8.26,1.18,+/-0.71,24.58,+/-0.91,0.0,0.0,13.5,57.7,14.4,14.4,0.91,8.26,0.71,0.91,7,1.0,8.57,60.0
16:00,7,7.2488,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,82.2,Tinggi,23.67,+/-0.97,86.83,+/-5.47,3.13,+/-2.59,23.67,+/-0.97,0.0,0.0,17.2,41.4,27.6,13.8,0.97,5.47,2.59,0.97,7,1.0,0.0,0.0
17:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,83.1,Tinggi,22.38,+/-0.2,92.05,+/-3.43,2.22,+/-1.31,22.38,+/-0.2,0.0,0.0,13.5,43.2,14.4,28.8,0.2,3.43,1.31,0.2,7,1.0,8.57,60.0
18:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,90.4,Tinggi,21.56,+/-1.89,93.32,+/-2.06,0.65,+/-0.09,21.56,+/-1.89,0.0,13.5,0.0,72.1,0.0,14.4,1.89,2.06,0.09,1.89,7,1.0,8.57,60.0
19:00,7,7.2488,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,83.4,Tinggi,20.77,+/-1.79,96.1,+/-1.24,1.16,+/-0.83,20.77,+/-1.79,0.0,17.2,13.8,41.4,13.8,13.8,1.79,1.24,0.83,1.79,7,1.0,0.0,0.0
20:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,83.1,Tinggi,20.62,+/-1.58,96.44,+/-1.29,0.42,+/-0.56,20.62,+/-1.58,0.0,13.5,43.2,28.8,0.0,14.4,1.58,1.29,0.56,1.58,7,1.0,8.57,60.0
21:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,83.2,Tinggi,20.34,+/-1.76,95.59,+/-2.61,0.1,+/-0.13,20.34,+/-1.76,0.0,13.5,43.2,28.8,0.0,14.4,1.76,2.61,0.13,1.76,7,1.0,8.57,60.0
22:00,7,7.2488,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,83.8,Tinggi,19.97,+/-1.76,95.07,+/-3.15,0.1,+/-0.1,19.97,+/-1.76,0.0,17.2,41.4,41.4,0.0,0.0,1.76,3.15,0.1,1.76,7,1.0,0.0,0.0
23:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,87.5,Tinggi,19.76,+/-0.45,95.16,+/-2.91,0.08,+/-0.12,19.76,+/-0.45,0.0,13.5,57.7,28.8,0.0,0.0,0.45,2.91,0.12,0.45,7,1.0,8.57,60.0
