jam,cuaca,suhu_C,kelembapan_RH_pct,heat_index_C,terasa_seperti_C,dew_point_C,tekanan_udara_hpa,peluang_hujan_pct,curah_hujan_p50_mm,curah_hujan_p90_mm,angin_kmh,hembusan_angin_p90_kmh,arah_angin_derajat,tutupan_awan_pct,jarak_pandang_p10_m,indeks_uv,risiko_hujan,saran
00:00,Cerah,23.2,85.0,23.2,23.2,,,0.0,0.0,0.0,5.8,,,15.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
01:00,Cerah,22.9,87.0,22.9,22.9,,,0.0,0.0,0.0,6.0,,,15.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
02:00,Cerah,22.8,86.0,22.8,22.8,,,0.0,0.0,0.0,6.2,,,15.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
03:00,Cerah,22.4,87.0,22.4,22.4,,,0.0,0.0,0.0,5.7,,,15.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
04:00,Cerah,22.0,88.0,22.0,22.0,,,0.0,0.0,0.0,5.8,,,15.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
05:00,Cerah,21.8,87.0,21.8,21.8,,,0.0,0.0,0.0,4.9,,,15.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
06:00,Cerah,22.1,85.0,22.1,22.1,,,0.0,0.0,0.0,4.7,,,15.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
07:00,Cerah,24.0,76.0,24.0,24.0,,,0.0,0.0,0.0,3.8,,,15.0,,,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
08:00,Cerah,26.1,60.0,26.1,26.1,,,0.0,0.0,0.0,2.8,,,15.0,,,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
09:00,Cerah,28.2,53.0,29.75,29.75,,,0.0,0.0,0.0,5.5,,,15.0,,,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
10:00,Cerah,30.1,47.0,31.75,31.75,,,0.0,0.0,0.0,7.4,,,45.0,,,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
11:00,Cerah Berawan,31.5,42.0,33.24,33.24,,,0.0,0.0,0.0,9.3,,,45.0,,,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
12:00,Cerah Berawan,32.6,39.0,34.07,34.07,,,0.0,0.0,0.0,10.6,,,45.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
13:00,Cerah Berawan,33.4,37.0,34.66,34.66,,,0.0,0.0,0.0,11.2,,,45.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
14:00,Cerah Berawan,33.8,38.0,34.43,34.43,,,0.0,0.0,0.0,9.8,,,45.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
15:00,Cerah Berawan,33.5,39.0,34.01,34.01,,,0.0,0.0,0.0,11.0,,,45.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
16:00,Cerah Berawan,32.8,41.0,33.9,33.9,,,0.0,0.0,0.0,11.9,,,45.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
17:00,Cerah Berawan,31.4,45.0,33.51,33.51,,,16.7,0.0,0.7,11.9,,,45.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
18:00,Cerah Berawan,29.6,50.0,31.81,31.81,,,16.7,0.0,0.7,9.3,,,45.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
19:00,Cerah Berawan,27.7,57.0,30.1,30.1,,,16.7,0.0,0.7,7.5,,,45.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
20:00,Cerah Berawan,26.0,64.0,26.0,26.0,,,0.0,0.0,0.0,7.2,,,45.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
21:00,Cerah Berawan,25.0,72.0,25.0,25.0,,,0.0,0.0,0.0,4.7,,,45.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
22:00,Cerah Berawan,24.7,79.0,24.7,24.7,,,0.0,0.0,0.0,4.7,,,45.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
23:00,Cerah Berawan,24.1,84.0,24.1,24.1,,,0.0,0.0,0.0,4.8,,,45.0,,,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
