tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
23-07-2026,00:00,21.0,Cerah,95.0,5.4
23-07-2026,01:00,21.0,Cerah,95.0,5.4
23-07-2026,02:00,21.0,Cerah,95.0,5.4
23-07-2026,03:00,20.0,Udara Kabur,93.0,8.5
23-07-2026,04:00,20.0,Udara Kabur,93.0,8.5
23-07-2026,05:00,20.0,Udara Kabur,93.0,8.5
23-07-2026,06:00,23.0,Udara Kabur,85.0,9.3
23-07-2026,07:00,23.0,Udara Kabur,85.0,9.3
23-07-2026,08:00,23.0,Udara Kabur,85.0,9.3
23-07-2026,09:00,27.0,Cerah,65.0,8.8
23-07-2026,10:00,27.0,Cerah,65.0,8.8
23-07-2026,11:00,27.0,Cerah,65.0,8.8
23-07-2026,12:00,28.0,Cerah,66.0,8.8
23-07-2026,13:00,28.0,Cerah,66.0,8.8
23-07-2026,14:00,28.0,Cerah,66.0,8.8
23-07-2026,15:00,26.0,Cerah,71.0,4.6
23-07-2026,16:00,26.0,Cerah,71.0,4.6
23-07-2026,17:00,26.0,Cerah,71.0,4.6
23-07-2026,18:00,23.0,Cerah,89.0,4.6
23-07-2026,19:00,23.0,Cerah,89.0,4.6
23-07-2026,20:00,23.0,Cerah,89.0,4.6
23-07-2026,21:00,22.0,Udara Kabur,84.0,9.3
23-07-2026,22:00,22.0,Udara Kabur,84.0,9.3
23-07-2026,23:00,22.0,Udara Kabur,84.0,9.3
