tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
08-09-2026,04:00,26.0,Kabut/Asap,67.0,7.1
08-09-2026,05:00,26.0,Kabut/Asap,67.0,7.1
08-09-2026,06:00,26.0,Kabut/Asap,67.0,7.1
08-09-2026,07:00,26.0,Kabut/Asap,67.0,7.1
08-09-2026,08:00,26.0,Kabut/Asap,67.0,7.1
08-09-2026,09:00,30.0,Cerah,46.0,7.5
08-09-2026,10:00,30.0,Cerah,46.0,7.5
08-09-2026,11:00,30.0,Cerah,46.0,7.5
08-09-2026,12:00,32.0,Cerah,39.0,9.9
08-09-2026,13:00,32.0,Cerah,39.0,9.9
08-09-2026,14:00,32.0,Cerah,39.0,9.9
08-09-2026,15:00,31.0,Cerah,43.0,8.5
08-09-2026,16:00,31.0,Cerah,43.0,8.5
08-09-2026,17:00,31.0,Cerah,43.0,8.5
08-09-2026,18:00,25.0,Cerah,71.0,0.7
08-09-2026,19:00,25.0,Cerah,71.0,0.7
08-09-2026,20:00,25.0,Cerah,71.0,0.7
08-09-2026,21:00,24.0,Cerah,79.0,5.0
08-09-2026,22:00,24.0,Cerah,79.0,5.0
08-09-2026,23:00,24.0,Cerah,79.0,5.0
