jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,77.3,Sedang,24.26,+/-0.72,91.0,+/-3.22,0.0,+/-0.0,24.26,+/-0.72,16.7,50.0,33.3,0.0,0.0,0.0,0.72,3.22,0.0,0.72,7,0.8571,0.0,0.0
01:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,73.2,Sedang,23.94,+/-0.71,92.0,+/-2.45,0.0,+/-0.0,23.94,+/-0.71,33.3,33.3,33.3,0.0,0.0,0.0,0.71,2.45,0.0,0.71,7,0.8571,0.0,0.0
02:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,77.4,Sedang,23.6,+/-0.74,92.4,+/-1.62,0.02,+/-0.04,23.6,+/-0.74,33.3,50.0,0.0,16.7,0.0,0.0,0.74,1.62,0.04,0.74,7,0.8571,0.0,0.0
03:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,77.0,Sedang,23.77,+/-1.5,93.2,+/-1.72,0.02,+/-0.04,23.77,+/-1.5,50.0,33.3,0.0,16.7,0.0,0.0,1.5,1.72,0.04,1.5,7,0.8571,0.0,0.0
04:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,77.0,Sedang,23.58,+/-1.5,92.8,+/-1.72,0.02,+/-0.04,23.58,+/-1.5,50.0,16.7,16.7,16.7,0.0,0.0,1.5,1.72,0.04,1.5,7,0.8571,0.0,0.0
05:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,77.0,Sedang,23.52,+/-1.42,92.6,+/-1.96,0.02,+/-0.04,23.52,+/-1.42,50.0,16.7,16.7,16.7,0.0,0.0,1.42,1.96,0.04,1.42,7,0.8571,0.0,0.0
06:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,77.0,Sedang,23.57,+/-1.28,91.8,+/-2.64,0.02,+/-0.04,23.57,+/-1.28,50.0,0.0,33.3,16.7,0.0,0.0,1.28,2.64,0.04,1.28,7,0.8571,0.0,0.0
07:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,77.0,Sedang,24.48,+/-0.77,84.17,+/-6.96,0.02,+/-0.04,24.48,+/-0.77,50.0,16.7,16.7,16.7,0.0,0.0,0.77,6.96,0.04,0.77,7,0.8571,0.0,0.0
08:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,76.8,Sedang,26.3,+/-1.04,76.67,+/-7.67,0.02,+/-0.04,25.62,+/-0.33,50.0,33.3,0.0,16.7,0.0,0.0,1.04,7.67,0.04,0.33,7,0.8571,0.0,0.0
09:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,76.5,Sedang,28.3,+/-1.46,69.17,+/-8.39,0.02,+/-0.04,30.31,+/-0.96,33.3,50.0,0.0,16.7,0.0,0.0,1.46,8.39,0.04,0.96,7,0.8571,0.0,0.0
10:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,76.5,Sedang,29.93,+/-1.5,62.67,+/-8.1,0.02,+/-0.04,33.04,+/-1.35,33.3,50.0,0.0,16.7,0.0,0.0,1.5,8.1,0.04,1.35,7,0.8571,0.0,0.0
11:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,76.5,Sedang,31.37,+/-1.6,56.67,+/-8.03,0.02,+/-0.04,34.59,+/-1.28,50.0,33.3,0.0,16.7,0.0,0.0,1.6,8.03,0.04,1.28,7,0.8571,0.0,0.0
12:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,76.5,Sedang,32.67,+/-1.7,50.83,+/-7.69,0.02,+/-0.04,35.7,+/-1.34,50.0,33.3,0.0,16.7,0.0,0.0,1.7,7.69,0.04,1.34,7,0.8571,0.0,0.0
13:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,76.4,Sedang,33.58,+/-1.8,46.5,+/-8.22,0.02,+/-0.04,35.96,+/-0.84,50.0,33.3,0.0,16.7,0.0,0.0,1.8,8.22,0.04,0.84,7,0.8571,0.0,0.0
14:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,80.4,Tinggi,34.07,+/-1.92,44.0,+/-8.6,0.03,+/-0.07,35.35,+/-0.24,16.7,66.7,0.0,16.7,0.0,0.0,1.92,8.6,0.07,0.24,7,0.8571,0.0,0.0
15:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,72.3,Sedang,33.52,+/-1.6,45.17,+/-7.78,0.07,+/-0.09,35.13,+/-0.13,33.3,33.3,0.0,33.3,0.0,0.0,1.6,7.78,0.09,0.13,7,0.8571,0.0,0.0
16:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,71.7,Sedang,32.38,+/-2.39,49.5,+/-10.0,0.05,+/-0.08,34.99,+/-0.6,33.3,33.3,0.0,33.3,0.0,0.0,2.39,10.0,0.08,0.6,7,0.8571,0.0,0.0
17:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,71.6,Sedang,31.1,+/-2.55,55.5,+/-10.81,0.07,+/-0.11,34.28,+/-0.55,33.3,33.3,0.0,33.3,0.0,0.0,2.55,10.81,0.11,0.55,7,0.8571,0.0,0.0
18:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,75.5,Sedang,29.45,+/-2.39,64.0,+/-11.5,0.23,+/-0.48,32.5,+/-0.42,16.7,50.0,0.0,33.3,0.0,0.0,2.39,11.5,0.48,0.42,7,0.8571,0.0,0.0
19:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,71.6,Sedang,28.05,+/-2.24,70.83,+/-11.41,0.13,+/-0.26,30.68,+/-0.67,33.3,33.3,0.0,33.3,0.0,0.0,2.24,11.41,0.26,0.67,7,0.8571,0.0,0.0
20:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,76.4,Sedang,26.5,+/-1.28,75.17,+/-10.9,0.03,+/-0.05,28.53,+/-3.16,16.7,50.0,0.0,33.3,0.0,0.0,1.28,10.9,0.05,3.16,7,0.8571,0.0,0.0
