jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,85.3,Tinggi,23.06,+/-0.72,93.04,+/-1.4,0.02,+/-0.04,23.06,+/-0.72,44.7,41.4,0.0,13.8,0.0,0.0,0.72,1.4,0.04,0.72,7,1.0,0.0,0.0
01:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,83.8,Tinggi,22.92,+/-0.69,92.48,+/-2.7,0.02,+/-0.04,22.92,+/-0.69,27.8,43.3,14.4,14.4,0.0,0.0,0.69,2.7,0.04,0.69,7,1.0,8.57,60.0
02:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,87.0,Tinggi,22.49,+/-0.83,92.47,+/-3.7,0.0,+/-0.0,22.49,+/-0.83,28.9,14.4,56.7,0.0,0.0,0.0,0.83,3.7,0.0,0.83,7,1.0,8.57,60.0
03:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,83.9,Tinggi,22.26,+/-0.92,89.89,+/-7.63,0.0,+/-0.0,22.26,+/-0.92,27.6,41.4,30.9,0.0,0.0,0.0,0.92,7.63,0.0,0.92,7,1.0,0.0,0.0
04:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,87.0,Tinggi,22.17,+/-1.01,89.23,+/-7.24,0.0,+/-0.0,22.17,+/-1.01,57.7,28.9,13.4,0.0,0.0,0.0,1.01,7.24,0.0,1.01,7,1.0,8.57,60.0
05:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,90.4,Tinggi,22.59,+/-1.88,90.54,+/-3.4,0.0,+/-0.0,22.59,+/-1.88,72.2,14.4,13.4,0.0,0.0,0.0,1.88,3.4,0.0,1.88,7,1.0,8.57,60.0
06:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,87.2,Tinggi,22.5,+/-1.77,88.11,+/-5.0,0.0,+/-0.0,22.5,+/-1.77,55.3,27.6,17.1,0.0,0.0,0.0,1.77,5.0,0.0,1.77,7,1.0,0.0,0.0
07:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,86.9,Tinggi,23.36,+/-1.36,84.4,+/-4.94,0.0,+/-0.0,23.36,+/-1.36,57.7,28.9,13.4,0.0,0.0,0.0,1.36,4.94,0.0,1.36,7,1.0,8.57,60.0
08:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,86.7,Tinggi,26.17,+/-1.19,73.23,+/-9.57,0.0,+/-0.0,26.93,+/-2.01,57.7,28.9,13.4,0.0,0.0,0.0,1.19,9.57,0.0,2.01,7,1.0,8.57,60.0
09:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,83.7,Tinggi,27.83,+/-1.2,67.35,+/-9.74,0.0,+/-0.0,30.13,+/-0.92,41.4,41.4,17.1,0.0,0.0,0.0,1.2,9.74,0.0,0.92,7,1.0,0.0,0.0
10:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,83.6,Tinggi,28.18,+/-0.11,62.26,+/-10.13,0.0,+/-0.0,31.69,+/-1.14,43.3,43.3,13.4,0.0,0.0,0.0,0.11,10.13,0.0,1.14,7,1.0,8.57,60.0
11:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,82.8,Tinggi,30.79,+/-1.53,55.42,+/-10.21,0.02,+/-0.04,32.81,+/-0.48,42.3,43.3,0.0,14.4,0.0,0.0,1.53,10.21,0.04,0.48,7,1.0,8.57,60.0
12:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,83.2,Tinggi,31.82,+/-1.89,50.47,+/-10.73,0.02,+/-0.04,33.9,+/-1.09,30.9,41.4,13.8,13.8,0.0,0.0,1.89,10.73,0.04,1.09,7,1.0,0.0,0.0
13:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,82.3,Tinggi,32.68,+/-2.22,46.33,+/-12.26,0.02,+/-0.04,34.35,+/-1.09,27.8,43.3,14.4,14.4,0.0,0.0,2.22,12.26,0.04,1.09,7,1.0,8.57,60.0
14:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,82.2,Tinggi,33.15,+/-2.39,43.73,+/-13.23,0.0,+/-0.0,34.74,+/-0.78,42.3,43.3,14.4,0.0,0.0,0.0,2.39,13.23,0.0,0.78,7,1.0,8.57,60.0
15:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,83.8,Tinggi,32.78,+/-2.22,44.95,+/-12.38,0.0,+/-0.0,34.18,+/-1.18,44.7,41.4,13.8,0.0,0.0,0.0,2.22,12.38,0.0,1.18,7,1.0,0.0,0.0
16:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,82.4,Tinggi,32.35,+/-2.04,46.62,+/-12.34,0.0,+/-0.0,33.95,+/-0.99,42.3,43.3,14.4,0.0,0.0,0.0,2.04,12.34,0.0,0.99,7,1.0,8.57,60.0
17:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,81.7,Tinggi,30.6,+/-2.64,53.39,+/-14.82,0.13,+/-0.3,32.55,+/-0.48,27.8,43.3,14.4,14.4,0.0,0.0,2.64,14.82,0.3,0.48,7,1.0,8.57,60.0
18:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,82.3,Tinggi,28.56,+/-2.6,61.47,+/-15.56,0.13,+/-0.3,29.56,+/-2.76,30.9,41.4,13.8,13.8,0.0,0.0,2.6,15.56,0.3,2.76,7,1.0,0.0,0.0
19:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,81.2,Tinggi,27.13,+/-2.79,67.68,+/-16.87,0.13,+/-0.3,27.63,+/-3.08,42.3,28.9,14.4,14.4,0.0,0.0,2.79,16.87,0.3,3.08,7,1.0,8.57,60.0
20:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,81.5,Tinggi,25.68,+/-2.85,75.19,+/-15.33,0.03,+/-0.07,26.14,+/-3.38,42.3,28.9,14.4,14.4,0.0,0.0,2.85,15.33,0.07,3.38,7,1.0,8.57,60.0
21:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,83.7,Tinggi,24.74,+/-2.41,80.03,+/-11.14,0.03,+/-0.07,23.91,+/-1.34,44.7,27.6,13.8,13.8,0.0,0.0,2.41,11.14,0.07,1.34,7,1.0,0.0,0.0
22:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,83.1,Tinggi,23.34,+/-1.14,85.67,+/-5.25,0.03,+/-0.07,23.34,+/-1.14,42.3,28.9,14.4,14.4,0.0,0.0,1.14,5.25,0.07,1.14,7,1.0,8.57,60.0
23:00,7,6.681,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,82.3,Tinggi,23.67,+/-2.1,83.65,+/-8.5,0.0,+/-0.0,22.89,+/-1.06,40.1,44.9,15.0,0.0,0.0,0.0,2.1,8.5,0.0,1.06,7,1.0,17.14,120.0
