tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
29-07-2026,00:00,20.0,Kabut/Asap,92.0,4.0
29-07-2026,01:00,20.0,Kabut/Asap,92.0,4.0
29-07-2026,02:00,20.0,Kabut/Asap,92.0,4.0
29-07-2026,03:00,20.0,Kabut/Asap,92.0,4.0
29-07-2026,04:00,20.0,Udara Kabur,90.0,4.7
29-07-2026,05:00,20.0,Udara Kabur,90.0,4.7
29-07-2026,06:00,20.0,Udara Kabur,90.0,4.7
29-07-2026,07:00,26.0,Udara Kabur,69.0,4.7
29-07-2026,08:00,26.0,Udara Kabur,69.0,4.7
29-07-2026,09:00,26.0,Udara Kabur,69.0,4.7
29-07-2026,10:00,29.0,Cerah Berawan,62.0,11.5
29-07-2026,11:00,29.0,Cerah Berawan,62.0,11.5
29-07-2026,12:00,29.0,Cerah Berawan,62.0,11.5
29-07-2026,13:00,28.0,Hujan Ringan,68.0,11.5
29-07-2026,14:00,28.0,Hujan Ringan,68.0,11.5
29-07-2026,15:00,28.0,Hujan Ringan,68.0,11.5
29-07-2026,16:00,22.0,Hujan Ringan,98.0,2.2
29-07-2026,17:00,22.0,Hujan Ringan,98.0,2.2
29-07-2026,18:00,22.0,Hujan Ringan,98.0,2.2
29-07-2026,19:00,23.0,Cerah Berawan,96.0,2.2
29-07-2026,20:00,23.0,Cerah Berawan,96.0,2.2
29-07-2026,21:00,23.0,Cerah Berawan,96.0,2.2
29-07-2026,22:00,22.0,Cerah Berawan,95.0,2.6
29-07-2026,23:00,22.0,Cerah Berawan,95.0,2.6
