tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
24-08-2026,00:00,22.0,Cerah,87.0,4.9
24-08-2026,01:00,22.0,Cerah,87.0,4.9
24-08-2026,02:00,22.0,Cerah,87.0,4.9
24-08-2026,03:00,21.0,Cerah,91.0,4.4
24-08-2026,04:00,21.0,Cerah,91.0,4.4
24-08-2026,05:00,21.0,Cerah,91.0,4.4
24-08-2026,06:00,25.0,Cerah,74.0,5.2
24-08-2026,07:00,25.0,Cerah,74.0,5.2
24-08-2026,08:00,25.0,Cerah,74.0,5.2
24-08-2026,09:00,30.0,Cerah,56.0,6.1
24-08-2026,10:00,30.0,Cerah,56.0,6.1
24-08-2026,11:00,30.0,Cerah,56.0,6.1
24-08-2026,12:00,31.0,Cerah,46.0,10.2
24-08-2026,13:00,31.0,Cerah,46.0,10.2
24-08-2026,14:00,31.0,Cerah,46.0,10.2
24-08-2026,15:00,30.0,Cerah,47.0,9.0
24-08-2026,16:00,30.0,Cerah,47.0,9.0
24-08-2026,17:00,30.0,Cerah,47.0,9.0
24-08-2026,18:00,26.0,Cerah,65.0,4.6
24-08-2026,19:00,26.0,Cerah,65.0,4.6
24-08-2026,20:00,26.0,Cerah,65.0,4.6
24-08-2026,21:00,23.0,Cerah,78.0,1.9
24-08-2026,22:00,23.0,Cerah,78.0,1.9
24-08-2026,23:00,23.0,Cerah,78.0,1.9
