jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,72.6,Sedang,23.64,+/-0.77,88.17,+/-10.04,0.03,+/-0.07,23.64,+/-0.77,16.7,33.3,33.3,16.7,0.0,0.0,0.77,10.04,0.07,0.77,7,0.8571,0.0,0.0
01:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,73.1,Sedang,23.46,+/-0.63,92.4,+/-3.61,0.03,+/-0.07,23.46,+/-0.63,16.7,33.3,33.3,16.7,0.0,0.0,0.63,3.61,0.07,0.63,7,0.8571,0.0,0.0
02:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,77.3,Sedang,23.2,+/-0.56,92.8,+/-2.99,0.08,+/-0.19,23.2,+/-0.56,0.0,50.0,33.3,16.7,0.0,0.0,0.56,2.99,0.19,0.56,7,0.8571,0.0,0.0
03:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,81.6,Tinggi,22.94,+/-0.52,91.75,+/-0.83,0.08,+/-0.19,22.94,+/-0.52,0.0,66.7,16.7,16.7,0.0,0.0,0.52,0.83,0.19,0.52,7,0.8571,0.0,0.0
04:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,77.3,Sedang,22.82,+/-0.45,93.2,+/-2.93,0.08,+/-0.19,22.82,+/-0.45,0.0,50.0,33.3,16.7,0.0,0.0,0.45,2.93,0.19,0.45,7,0.8571,0.0,0.0
05:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,81.5,Tinggi,22.78,+/-0.57,93.4,+/-3.61,0.03,+/-0.07,22.78,+/-0.57,0.0,66.7,16.7,16.7,0.0,0.0,0.57,3.61,0.07,0.57,7,0.8571,0.0,0.0
06:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,76.6,Sedang,23.57,+/-1.68,93.0,+/-5.02,0.03,+/-0.07,22.88,+/-0.75,16.7,50.0,16.7,16.7,0.0,0.0,1.68,5.02,0.07,0.75,7,0.8571,0.0,0.0
07:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,72.8,Sedang,24.18,+/-0.34,83.83,+/-10.11,0.03,+/-0.07,24.18,+/-0.34,33.3,33.3,16.7,16.7,0.0,0.0,0.34,10.11,0.07,0.34,7,0.8571,0.0,0.0
08:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,72.2,Sedang,26.6,+/-1.31,75.67,+/-10.99,0.03,+/-0.07,27.57,+/-2.2,33.3,33.3,16.7,16.7,0.0,0.0,1.31,10.99,0.07,2.2,7,0.8571,0.0,0.0
09:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,76.1,Sedang,28.77,+/-1.75,66.5,+/-12.16,0.03,+/-0.07,30.8,+/-2.34,16.7,50.0,16.7,16.7,0.0,0.0,1.75,12.16,0.07,2.34,7,0.8571,0.0,0.0
