jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,87.2,Tinggi,22.1,+/-2.3,83.3,+/-11.97,0.0,+/-0.0,22.29,+/-2.72,58.6,13.8,27.6,0.0,0.0,0.0,2.3,11.97,0.0,2.72,7,1.0,0.0,0.0
01:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,85.8,Tinggi,21.88,+/-2.23,82.66,+/-11.3,0.0,+/-0.0,21.88,+/-2.23,56.7,14.4,28.9,0.0,0.0,0.0,2.23,11.3,0.0,2.23,7,1.0,8.57,60.0
02:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,86.0,Tinggi,21.41,+/-2.32,81.92,+/-11.68,0.0,+/-0.0,21.41,+/-2.32,57.7,14.4,27.8,0.0,0.0,0.0,2.32,11.68,0.0,2.32,7,1.0,8.57,60.0
03:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,86.4,Tinggi,20.95,+/-2.36,81.85,+/-11.98,0.0,+/-0.0,20.95,+/-2.36,55.3,13.8,30.9,0.0,0.0,0.0,2.36,11.98,0.0,2.36,7,1.0,0.0,0.0
04:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,89.5,Tinggi,20.86,+/-2.36,81.05,+/-12.52,0.0,+/-0.0,20.86,+/-2.36,72.2,0.0,27.8,0.0,0.0,0.0,2.36,12.52,0.0,2.36,7,1.0,8.57,60.0
05:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,86.4,Tinggi,20.25,+/-1.45,79.13,+/-12.13,0.0,+/-0.0,20.25,+/-1.45,57.7,14.4,27.8,0.0,0.0,0.0,1.45,12.13,0.0,1.45,7,1.0,8.57,60.0
06:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,87.1,Tinggi,20.94,+/-2.01,84.77,+/-4.74,0.0,+/-0.0,20.94,+/-2.01,55.3,13.8,30.9,0.0,0.0,0.0,2.01,4.74,0.0,2.01,7,1.0,0.0,0.0
07:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,86.6,Tinggi,22.51,+/-1.62,77.81,+/-7.84,0.0,+/-0.0,22.51,+/-1.62,57.7,14.4,27.8,0.0,0.0,0.0,1.62,7.84,0.0,1.62,7,1.0,8.57,60.0
08:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,82.6,Tinggi,26.01,+/-1.66,64.98,+/-12.6,0.0,+/-0.0,26.46,+/-1.99,43.3,43.3,13.4,0.0,0.0,0.0,1.66,12.6,0.0,1.99,7,1.0,8.57,60.0
09:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,86.9,Tinggi,27.88,+/-1.42,60.05,+/-10.97,0.0,+/-0.0,28.81,+/-1.59,27.6,55.3,17.1,0.0,0.0,0.0,1.42,10.97,0.0,1.59,7,1.0,0.0,0.0
10:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,86.7,Tinggi,29.56,+/-1.6,51.99,+/-6.06,0.0,+/-0.0,31.09,+/-1.41,14.4,57.7,27.8,0.0,0.0,0.0,1.6,6.06,0.0,1.41,7,1.0,8.57,60.0
11:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,90.7,Tinggi,31.45,+/-1.52,48.06,+/-2.25,0.0,+/-0.0,33.04,+/-1.0,27.8,72.2,0.0,0.0,0.0,0.0,1.52,2.25,0.0,1.0,7,1.0,8.57,60.0
12:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,90.8,Tinggi,32.65,+/-1.5,41.92,+/-3.88,0.0,+/-0.0,34.07,+/-1.15,30.9,69.1,0.0,0.0,0.0,0.0,1.5,3.88,0.0,1.15,7,1.0,0.0,0.0
13:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,86.6,Tinggi,33.52,+/-1.68,40.68,+/-7.37,0.0,+/-0.0,34.49,+/-1.38,42.3,57.7,0.0,0.0,0.0,0.0,1.68,7.37,0.0,1.38,7,1.0,8.57,60.0
14:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,89.9,Tinggi,33.64,+/-2.18,38.63,+/-8.24,0.0,+/-0.0,34.21,+/-1.74,27.8,72.2,0.0,0.0,0.0,0.0,2.18,8.24,0.0,1.74,7,1.0,8.57,60.0
15:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,90.1,Tinggi,33.56,+/-2.27,38.3,+/-8.64,0.0,+/-0.0,34.15,+/-1.85,30.9,69.1,0.0,0.0,0.0,0.0,2.27,8.64,0.0,1.85,7,1.0,0.0,0.0
16:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,82.8,Tinggi,33.16,+/-1.95,40.07,+/-7.89,0.0,+/-0.0,34.27,+/-0.87,27.8,43.3,28.9,0.0,0.0,0.0,1.95,7.89,0.0,0.87,7,1.0,8.57,60.0
17:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,83.1,Tinggi,31.5,+/-0.93,48.24,+/-10.45,0.0,+/-0.0,33.26,+/-0.9,27.8,43.3,28.9,0.0,0.0,0.0,0.93,10.45,0.0,0.9,7,1.0,8.57,60.0
18:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,83.8,Tinggi,29.38,+/-0.77,55.67,+/-9.86,0.02,+/-0.04,31.02,+/-0.34,30.9,41.4,13.8,13.8,0.0,0.0,0.77,9.86,0.04,0.34,7,1.0,0.0,0.0
19:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,82.2,Tinggi,28.02,+/-2.13,62.81,+/-11.18,0.02,+/-0.04,28.8,+/-2.6,42.3,28.9,14.4,14.4,0.0,0.0,2.13,11.18,0.04,2.6,7,1.0,8.57,60.0
20:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,82.0,Tinggi,26.65,+/-2.38,70.16,+/-12.0,0.0,+/-0.0,27.32,+/-3.05,42.3,28.9,28.9,0.0,0.0,0.0,2.38,12.0,0.0,3.05,7,1.0,8.57,60.0
21:00,7,7.2381,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,83.9,Tinggi,25.65,+/-2.18,75.78,+/-11.21,0.0,+/-0.0,26.13,+/-2.88,44.7,27.6,27.6,0.0,0.0,0.0,2.18,11.21,0.0,2.88,7,1.0,0.0,0.0
22:00,7,6.9286,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,82.2,Tinggi,24.96,+/-2.06,80.27,+/-11.62,0.0,+/-0.0,24.27,+/-1.26,42.3,28.9,28.9,0.0,0.0,0.0,2.06,11.62,0.0,1.26,7,1.0,8.57,60.0
23:00,7,6.681,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,84.6,Tinggi,24.47,+/-2.02,82.0,+/-12.02,0.0,+/-0.0,23.72,+/-1.05,55.1,15.0,29.9,0.0,0.0,0.0,2.02,12.02,0.0,1.05,7,1.0,17.14,120.0
