tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
19-09-2026,04:00,24.0,Berawan,89.0,5.0
19-09-2026,05:00,24.0,Berawan,89.0,5.0
19-09-2026,06:00,24.0,Berawan,89.0,5.0
19-09-2026,07:00,24.0,Berawan,89.0,5.0
19-09-2026,08:00,24.0,Berawan,89.0,5.0
19-09-2026,09:00,27.0,Hujan Ringan,77.0,5.1
19-09-2026,10:00,27.0,Hujan Ringan,77.0,5.1
19-09-2026,11:00,27.0,Hujan Ringan,77.0,5.1
19-09-2026,12:00,28.0,Hujan Ringan,75.0,6.1
19-09-2026,13:00,28.0,Hujan Ringan,75.0,6.1
19-09-2026,14:00,28.0,Hujan Ringan,75.0,6.1
19-09-2026,15:00,26.0,Udara Kabur,87.0,4.9
19-09-2026,16:00,26.0,Udara Kabur,87.0,4.9
19-09-2026,17:00,26.0,Udara Kabur,87.0,4.9
19-09-2026,18:00,24.0,Udara Kabur,97.0,1.9
19-09-2026,19:00,24.0,Udara Kabur,97.0,1.9
19-09-2026,20:00,24.0,Udara Kabur,97.0,1.9
19-09-2026,21:00,23.0,Cerah,96.0,2.6
19-09-2026,22:00,23.0,Cerah,96.0,2.6
19-09-2026,23:00,23.0,Cerah,96.0,2.6
