jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,71.6,Sedang,23.02,+/-2.39,79.67,+/-10.31,0.12,+/-0.26,23.3,+/-2.95,33.3,16.7,33.3,16.7,0.0,0.0,2.39,10.31,0.26,2.95,7,0.8571,0.0,0.0
01:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,71.6,Sedang,22.53,+/-2.42,79.0,+/-10.39,0.12,+/-0.26,22.78,+/-2.9,16.7,33.3,33.3,16.7,0.0,0.0,2.42,10.39,0.26,2.9,7,0.8571,0.0,0.0
02:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,75.9,Sedang,22.02,+/-2.39,79.0,+/-10.47,0.0,+/-0.0,22.02,+/-2.39,0.0,50.0,50.0,0.0,0.0,0.0,2.39,10.47,0.0,2.39,7,0.8571,0.0,0.0
03:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,75.9,Sedang,21.57,+/-2.38,79.5,+/-10.97,0.0,+/-0.0,21.57,+/-2.38,0.0,50.0,50.0,0.0,0.0,0.0,2.38,10.97,0.0,2.38,7,0.8571,0.0,0.0
04:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,80.1,Tinggi,21.25,+/-2.33,80.17,+/-10.7,0.0,+/-0.0,21.25,+/-2.33,0.0,33.3,66.7,0.0,0.0,0.0,2.33,10.7,0.0,2.33,7,0.8571,0.0,0.0
05:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,76.1,Sedang,20.93,+/-2.23,81.67,+/-9.79,0.0,+/-0.0,20.93,+/-2.23,0.0,50.0,50.0,0.0,0.0,0.0,2.23,9.79,0.0,2.23,7,0.8571,0.0,0.0
06:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,76.8,Sedang,19.98,+/-0.93,81.67,+/-9.21,0.0,+/-0.0,19.98,+/-0.93,0.0,50.0,50.0,0.0,0.0,0.0,0.93,9.21,0.0,0.93,7,0.8571,0.0,0.0
07:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,76.9,Sedang,20.96,+/-0.63,78.67,+/-9.64,0.0,+/-0.0,20.96,+/-0.63,0.0,50.0,50.0,0.0,0.0,0.0,0.63,9.64,0.0,0.63,7,0.8571,0.0,0.0
08:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,80.9,Tinggi,23.52,+/-0.69,68.83,+/-11.19,0.0,+/-0.0,23.52,+/-0.69,0.0,66.7,33.3,0.0,0.0,0.0,0.69,11.19,0.0,0.69,7,0.8571,0.0,0.0
09:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,80.7,Tinggi,26.58,+/-0.93,58.33,+/-12.15,0.0,+/-0.0,27.0,+/-1.53,0.0,66.7,33.3,0.0,0.0,0.0,0.93,12.15,0.0,1.53,7,0.8571,0.0,0.0
