jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,72.2,Sedang,24.47,+/-1.54,89.0,+/-8.81,0.07,+/-0.15,23.86,+/-0.8,33.3,33.3,16.7,16.7,0.0,0.0,1.54,8.81,0.15,0.8,7,0.8571,0.0,0.0
01:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,76.6,Sedang,24.43,+/-1.27,88.83,+/-7.34,0.07,+/-0.15,23.96,+/-0.76,16.7,16.7,50.0,16.7,0.0,0.0,1.27,7.34,0.15,0.76,7,0.8571,0.0,0.0
02:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,76.8,Sedang,24.15,+/-1.27,89.17,+/-6.47,0.0,+/-0.0,24.15,+/-1.27,16.7,50.0,33.3,0.0,0.0,0.0,1.27,6.47,0.0,1.27,7,0.8571,0.0,0.0
03:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,81.0,Tinggi,23.82,+/-1.32,89.67,+/-5.96,0.0,+/-0.0,23.82,+/-1.32,16.7,66.7,16.7,0.0,0.0,0.0,1.32,5.96,0.0,1.32,7,0.8571,0.0,0.0
04:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,77.1,Sedang,23.73,+/-1.27,91.6,+/-2.65,0.0,+/-0.0,23.73,+/-1.27,16.7,50.0,33.3,0.0,0.0,0.0,1.27,2.65,0.0,1.27,7,0.8571,0.0,0.0
05:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,81.2,Tinggi,23.57,+/-1.32,92.0,+/-2.83,0.02,+/-0.04,23.57,+/-1.32,16.7,66.7,0.0,16.7,0.0,0.0,1.32,2.83,0.04,1.32,7,0.8571,0.0,0.0
06:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,85.1,Tinggi,23.32,+/-1.41,89.83,+/-5.08,0.03,+/-0.07,23.32,+/-1.41,0.0,83.3,0.0,16.7,0.0,0.0,1.41,5.08,0.07,1.41,7,0.8571,0.0,0.0
07:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,77.4,Sedang,23.38,+/-0.43,90.0,+/-2.77,0.03,+/-0.05,23.38,+/-0.43,16.7,50.0,0.0,33.3,0.0,0.0,0.43,2.77,0.05,0.43,7,0.8571,0.0,0.0
08:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,73.2,Sedang,25.4,+/-0.37,84.17,+/-3.48,0.12,+/-0.19,25.4,+/-0.37,33.3,33.3,0.0,33.3,0.0,0.0,0.37,3.48,0.19,0.37,7,0.8571,0.0,0.0
09:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,72.9,Sedang,26.73,+/-0.37,78.17,+/-5.79,0.15,+/-0.26,27.91,+/-1.51,16.7,33.3,16.7,33.3,0.0,0.0,0.37,5.79,0.26,1.51,7,0.8571,0.0,0.0
10:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,72.8,Sedang,27.9,+/-0.55,72.33,+/-5.85,0.12,+/-0.26,30.69,+/-0.5,33.3,33.3,16.7,16.7,0.0,0.0,0.55,5.85,0.26,0.5,7,0.8571,0.0,0.0
11:00,7,6.6868,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,89.0,Tinggi,28.51,+/-1.2,69.89,+/-7.75,0.05,+/-0.05,31.3,+/-2.0,15.0,0.0,15.0,70.1,0.0,0.0,1.2,7.75,0.05,2.0,7,1.0,25.71,180.0
12:00,7,6.6868,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,88.7,Tinggi,29.01,+/-1.59,68.69,+/-9.92,0.08,+/-0.04,31.98,+/-2.35,0.0,15.0,15.0,70.1,0.0,0.0,1.59,9.92,0.04,2.35,7,1.0,17.14,120.0
13:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,92.7,Tinggi,29.13,+/-1.99,68.45,+/-12.71,0.48,+/-0.49,31.94,+/-2.71,0.0,14.4,0.0,85.6,0.0,0.0,1.99,12.71,0.49,2.71,7,1.0,8.57,60.0
14:00,7,7.2488,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,97.5,Tinggi,28.7,+/-2.0,70.0,+/-12.35,0.52,+/-0.32,31.26,+/-2.78,0.0,0.0,0.0,100.0,0.0,0.0,2.0,12.35,0.32,2.78,7,1.0,0.0,0.0
15:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,88.9,Tinggi,28.29,+/-2.07,72.34,+/-12.64,0.77,+/-0.63,30.0,+/-3.36,0.0,14.4,0.0,71.2,0.0,14.4,2.07,12.64,0.63,3.36,7,1.0,8.57,60.0
16:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,92.8,Tinggi,27.75,+/-2.33,74.99,+/-12.82,0.62,+/-0.45,29.49,+/-3.69,0.0,13.5,0.0,86.5,0.0,0.0,2.33,12.82,0.45,3.69,7,1.0,8.57,60.0
17:00,7,7.2488,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,90.1,Tinggi,26.88,+/-1.96,80.27,+/-10.88,0.1,+/-0.06,28.17,+/-3.4,0.0,31.0,0.0,69.0,0.0,0.0,1.96,10.88,0.06,3.4,7,1.0,0.0,0.0
18:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,90.3,Tinggi,25.73,+/-1.7,88.46,+/-4.66,0.14,+/-0.1,26.55,+/-2.95,0.0,27.9,0.0,72.1,0.0,0.0,1.7,4.66,0.1,2.95,7,1.0,8.57,60.0
19:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,90.4,Tinggi,24.93,+/-1.65,92.12,+/-4.13,0.1,+/-0.06,24.38,+/-1.04,13.5,14.4,0.0,72.1,0.0,0.0,1.65,4.13,0.06,1.04,7,1.0,8.57,60.0
20:00,7,7.2488,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,83.6,Tinggi,24.45,+/-1.51,91.21,+/-7.51,0.05,+/-0.08,23.94,+/-0.9,31.0,41.4,0.0,27.6,0.0,0.0,1.51,7.51,0.08,0.9,7,1.0,0.0,0.0
21:00,7,6.9366,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah,83.2,Tinggi,24.12,+/-1.49,94.64,+/-2.43,0.02,+/-0.04,23.61,+/-0.86,42.3,28.8,14.4,14.4,0.0,0.0,1.49,2.43,0.04,0.86,7,1.0,8.57,60.0
