tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
04-08-2026,00:00,21.0,Kabut/Asap,94.0,6.6
04-08-2026,01:00,21.0,Kabut/Asap,94.0,6.6
04-08-2026,02:00,21.0,Kabut/Asap,94.0,6.6
04-08-2026,03:00,21.0,Kabut/Asap,94.0,6.6
04-08-2026,04:00,20.0,Udara Kabur,95.0,3.2
04-08-2026,05:00,20.0,Udara Kabur,95.0,3.2
04-08-2026,06:00,20.0,Udara Kabur,95.0,3.2
04-08-2026,07:00,25.0,Udara Kabur,78.0,3.2
04-08-2026,08:00,25.0,Udara Kabur,78.0,3.2
04-08-2026,09:00,25.0,Udara Kabur,78.0,3.2
04-08-2026,10:00,28.0,Cerah Berawan,68.0,4.2
04-08-2026,11:00,28.0,Cerah Berawan,68.0,4.2
04-08-2026,12:00,28.0,Cerah Berawan,68.0,4.2
04-08-2026,13:00,27.0,Cerah Berawan,75.0,4.2
04-08-2026,14:00,27.0,Cerah Berawan,75.0,4.2
04-08-2026,15:00,27.0,Cerah Berawan,75.0,4.2
04-08-2026,16:00,25.0,Cerah,88.0,5.2
04-08-2026,17:00,25.0,Cerah,88.0,5.2
04-08-2026,18:00,25.0,Cerah,88.0,5.2
04-08-2026,19:00,23.0,Cerah,94.0,5.2
04-08-2026,20:00,23.0,Cerah,94.0,5.2
04-08-2026,21:00,23.0,Cerah,94.0,5.2
04-08-2026,22:00,22.0,Udara Kabur,94.0,4.9
04-08-2026,23:00,22.0,Udara Kabur,94.0,4.9
