tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
06-09-2026,11:00,31.0,Cerah,43.0,8.3
06-09-2026,12:00,31.0,Cerah,43.0,8.3
06-09-2026,13:00,31.0,Cerah,43.0,8.3
06-09-2026,14:00,31.0,Cerah,43.0,8.3
06-09-2026,15:00,31.0,Cerah,43.0,8.3
06-09-2026,16:00,27.0,Cerah Berawan,66.0,8.3
06-09-2026,17:00,27.0,Cerah Berawan,66.0,8.3
06-09-2026,18:00,27.0,Cerah Berawan,66.0,8.3
06-09-2026,19:00,24.0,Cerah,74.0,8.8
06-09-2026,20:00,24.0,Cerah,74.0,8.8
06-09-2026,21:00,24.0,Cerah,74.0,8.8
06-09-2026,22:00,23.0,Cerah Berawan,78.0,8.6
06-09-2026,23:00,23.0,Cerah Berawan,78.0,8.6
