jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,76.9,Sedang,21.2,+/-1.53,96.6,+/-1.5,0.07,+/-0.15,21.2,+/-1.53,16.7,50.0,16.7,16.7,0.0,0.0,1.53,1.5,0.15,1.53,7,0.8571,0.0,0.0
01:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,77.5,Sedang,20.3,+/-0.58,97.4,+/-1.02,0.0,+/-0.0,20.3,+/-0.58,16.7,33.3,50.0,0.0,0.0,0.0,0.58,1.02,0.0,0.58,7,0.8571,0.0,0.0
02:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,77.5,Sedang,20.1,+/-0.51,97.4,+/-1.62,0.02,+/-0.04,20.1,+/-0.51,0.0,50.0,33.3,16.7,0.0,0.0,0.51,1.62,0.04,0.51,7,0.8571,0.0,0.0
03:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,77.5,Sedang,19.88,+/-0.47,97.0,+/-2.37,0.0,+/-0.0,19.88,+/-0.47,0.0,50.0,50.0,0.0,0.0,0.0,0.47,2.37,0.0,0.47,7,0.8571,0.0,0.0
04:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,81.5,Tinggi,19.78,+/-0.35,94.5,+/-4.89,0.0,+/-0.0,19.78,+/-0.35,0.0,33.3,66.7,0.0,0.0,0.0,0.35,4.89,0.0,0.35,7,0.8571,0.0,0.0
05:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,81.6,Tinggi,19.78,+/-0.33,95.0,+/-4.76,0.0,+/-0.0,19.78,+/-0.33,0.0,66.7,33.3,0.0,0.0,0.0,0.33,4.76,0.0,0.33,7,0.8571,0.0,0.0
06:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,76.9,Sedang,20.47,+/-1.22,93.83,+/-4.88,0.0,+/-0.0,20.47,+/-1.22,16.7,33.3,50.0,0.0,0.0,0.0,1.22,4.88,0.0,1.22,7,0.8571,0.0,0.0
07:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,73.0,Sedang,21.4,+/-0.3,88.17,+/-7.82,0.0,+/-0.0,21.4,+/-0.3,33.3,33.3,33.3,0.0,0.0,0.0,0.3,7.82,0.0,0.3,7,0.8571,0.0,0.0
08:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,77.2,Sedang,23.53,+/-0.67,81.6,+/-4.84,0.03,+/-0.07,23.53,+/-0.67,16.7,50.0,16.7,16.7,0.0,0.0,0.67,4.84,0.07,0.67,7,0.8571,0.0,0.0
09:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,76.9,Sedang,25.6,+/-0.68,70.6,+/-5.82,0.12,+/-0.26,25.77,+/-1.01,16.7,50.0,16.7,16.7,0.0,0.0,0.68,5.82,0.26,1.01,7,0.8571,0.0,0.0
10:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,76.3,Sedang,27.1,+/-0.9,58.83,+/-11.65,0.17,+/-0.37,27.36,+/-1.12,16.7,50.0,16.7,16.7,0.0,0.0,0.9,11.65,0.37,1.12,7,0.8571,0.0,0.0
11:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,76.2,Sedang,27.67,+/-1.39,57.5,+/-13.18,0.03,+/-0.04,28.1,+/-1.54,0.0,50.0,0.0,50.0,0.0,0.0,1.39,13.18,0.04,1.54,7,0.8571,0.0,0.0
12:00,6,6.0,cukup,"CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,75.8,Sedang,27.82,+/-1.97,59.5,+/-14.93,0.03,+/-0.04,28.3,+/-2.18,0.0,50.0,0.0,50.0,0.0,0.0,1.97,14.93,0.04,2.18,7,0.8571,0.0,0.0
