jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,83.8,Tinggi,20.34,+/-0.39,93.73,+/-4.82,0.0,+/-0.0,20.34,+/-0.39,14.4,43.3,42.3,0.0,0.0,0.0,0.39,4.82,0.0,0.39,7,1.0,8.57,60.0
01:00,7,7.2416,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,85.4,Tinggi,20.04,+/-0.28,94.49,+/-3.92,0.0,+/-0.0,20.04,+/-0.28,13.8,41.4,44.8,0.0,0.0,0.0,0.28,3.92,0.0,0.28,7,1.0,0.0,0.0
02:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,83.7,Tinggi,20.16,+/-0.85,95.17,+/-3.91,0.0,+/-0.0,20.16,+/-0.85,14.4,43.3,42.3,0.0,0.0,0.0,0.85,3.91,0.0,0.85,7,1.0,8.57,60.0
03:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,83.4,Tinggi,20.51,+/-1.43,94.89,+/-4.03,0.0,+/-0.0,20.51,+/-1.43,14.4,43.3,42.3,0.0,0.0,0.0,1.43,4.03,0.0,1.43,7,1.0,8.57,60.0
04:00,7,7.2416,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,88.3,Tinggi,20.49,+/-1.44,94.76,+/-3.98,0.0,+/-0.0,20.49,+/-1.44,13.8,27.6,58.6,0.0,0.0,0.0,1.44,3.98,0.0,1.44,7,1.0,0.0,0.0
05:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Berawan,86.8,Tinggi,20.36,+/-1.34,95.03,+/-4.08,0.0,+/-0.0,20.36,+/-1.34,14.4,28.9,56.7,0.0,0.0,0.0,1.34,4.08,0.0,1.34,7,1.0,8.57,60.0
06:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,83.5,Tinggi,20.08,+/-1.15,95.83,+/-4.26,0.0,+/-0.0,20.08,+/-1.15,14.4,43.3,42.3,0.0,0.0,0.0,1.15,4.26,0.0,1.15,7,1.0,8.57,60.0
07:00,7,7.2416,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,87.5,Tinggi,20.95,+/-0.84,90.01,+/-6.79,0.0,+/-0.0,20.95,+/-0.84,13.8,55.2,31.0,0.0,0.0,0.0,0.84,6.79,0.0,0.84,7,1.0,0.0,0.0
08:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,90.6,Tinggi,23.21,+/-1.18,81.9,+/-6.22,0.0,+/-0.0,23.21,+/-1.18,14.4,72.1,13.4,0.0,0.0,0.0,1.18,6.22,0.0,1.18,7,1.0,8.57,60.0
09:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,96.8,Tinggi,25.67,+/-2.16,70.09,+/-9.32,0.0,+/-0.0,26.24,+/-3.11,0.0,100.0,0.0,0.0,0.0,0.0,2.16,9.32,0.0,3.11,7,1.0,8.57,60.0
10:00,7,7.2416,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,94.5,Tinggi,27.14,+/-1.98,63.76,+/-9.24,0.02,+/-0.04,28.06,+/-2.92,0.0,86.2,0.0,13.8,0.0,0.0,1.98,9.24,0.04,2.92,7,1.0,0.0,0.0
11:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,86.2,Tinggi,27.65,+/-1.66,61.58,+/-9.65,0.03,+/-0.04,28.67,+/-2.45,0.0,56.7,0.0,43.3,0.0,0.0,1.66,9.65,0.04,2.45,7,1.0,8.57,60.0
12:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,85.9,Tinggi,28.27,+/-1.73,59.58,+/-12.16,0.03,+/-0.04,29.37,+/-2.19,0.0,56.7,0.0,43.3,0.0,0.0,1.73,12.16,0.04,2.19,7,1.0,8.57,60.0
13:00,7,7.2416,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Cerah Berawan,83.7,Tinggi,28.48,+/-1.95,59.41,+/-14.25,0.03,+/-0.04,29.63,+/-2.41,0.0,44.8,13.8,41.4,0.0,0.0,1.95,14.25,0.04,2.41,7,1.0,0.0,0.0
14:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,81.7,Tinggi,28.05,+/-2.33,62.03,+/-16.41,0.28,+/-0.38,28.89,+/-2.8,0.0,27.9,14.4,43.3,14.4,0.0,2.33,16.41,0.38,2.8,7,1.0,8.57,60.0
15:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,81.7,Tinggi,26.75,+/-2.59,68.65,+/-17.96,0.08,+/-0.08,27.18,+/-2.92,0.0,27.9,14.4,43.3,14.4,0.0,2.59,17.96,0.08,2.92,7,1.0,8.57,60.0
16:00,7,7.2416,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,82.3,Tinggi,25.72,+/-2.79,74.72,+/-16.96,0.08,+/-0.04,26.36,+/-3.38,0.0,31.0,13.8,41.4,13.8,0.0,2.79,16.96,0.04,3.38,7,1.0,0.0,0.0
17:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,85.5,Tinggi,24.61,+/-2.57,80.92,+/-14.0,0.37,+/-0.29,24.14,+/-2.45,0.0,13.4,14.4,57.7,0.0,14.4,2.57,14.0,0.29,2.45,7,1.0,8.57,60.0
18:00,7,6.9312,cukup,"BMKG,CMA,ECMWF,GFS,ICON,METEOFRANCE,UKMO",Hujan Ringan,93.6,Tinggi,22.43,+/-0.94,87.83,+/-10.19,0.5,+/-0.49,22.43,+/-0.94,0.0,13.4,0.0,86.6,0.0,0.0,0.94,10.19,0.49,0.94,7,1.0,8.57,60.0
