issue_date,valid_date,lead_day,rain_mm,discharge_proxy_observed_m3s,discharge_modelled_m3s
2017-12-31,2018-01-01,1,14.565266377575636,29.27,32.89538893495432
2017-12-31,2018-01-02,2,27.479618333864188,30.19,35.655417867792615
2017-12-31,2018-01-03,3,54.95743759452414,34.81,42.41511822021329
2018-01-01,2018-01-02,1,27.479618333864188,30.19,32.23375624342627
2018-01-01,2018-01-03,2,54.95743759452414,34.81,39.18573553004714
2018-01-01,2018-01-04,3,6.525263594827887,44.08,38.423887985513105
2018-01-02,2018-01-03,1,54.95743759452414,34.81,37.25682736787256
2018-01-02,2018-01-04,2,6.525263594827887,44.08,36.6033740616676
2018-01-02,2018-01-05,3,1.6440900056204373,44.6,35.24858585307108
2018-01-03,2018-01-04,1,6.525263594827887,44.08,34.29404519894122
2018-01-03,2018-01-05,2,1.6440900056204373,44.6,33.0690288208731
2018-01-03,2018-01-06,3,0.8358385482535698,39.36,31.790640493556392
2018-01-04,2018-01-05,1,1.6440900056204373,44.6,42.30506572652122
2018-01-04,2018-01-06,2,0.8358385482535698,39.36,40.507661924440654
2018-01-04,2018-01-07,3,0.7977236125849569,33.36,38.805499374578424
2018-01-05,2018-01-06,1,0.8358385482535698,39.36,42.673633265693276
2018-01-05,2018-01-07,2,0.7977236125849569,33.36,40.84975480504709
2018-01-05,2018-01-08,3,1.1539366960614503,28.58,39.1822295041204
2018-01-06,2018-01-07,1,0.7977236125849569,33.36,37.72232986226939
2018-01-06,2018-01-08,2,1.1539366960614503,28.58,36.23054898051792
2018-01-06,2018-01-09,3,2.2109364789829455,25.67,34.98242127382921
2018-01-07,2018-01-08,1,1.1539366960614503,28.58,32.11335853547604
2018-01-07,2018-01-09,2,2.2109364789829455,25.67,31.096594732521826
2018-01-07,2018-01-10,3,1.4403701100202473,27.77,30.020454463745327
2018-01-08,2018-01-09,1,2.2109364789829455,25.67,27.76179189539727
2018-01-08,2018-01-10,2,1.4403701100202473,27.77,26.873049565307614
2018-01-08,2018-01-11,3,12.16850289141097,28.11,27.65639180965284
2018-01-09,2018-01-10,1,1.4403701100202473,27.77,24.898805095801734
2018-01-09,2018-01-11,2,12.16850289141097,28.11,25.79308923450144
2018-01-09,2018-01-12,3,3.989653042746516,28.92,25.40044045261399
2018-01-10,2018-01-11,1,12.16850289141097,28.11,28.502938466138488
2018-01-10,2018-01-12,2,3.989653042746516,28.92,27.958010768535953
2018-01-10,2018-01-13,3,5.236240932380145,26.16,27.632194778886102
2018-01-11,2018-01-12,1,3.989653042746516,28.92,27.587153325528842
2018-01-11,2018-01-13,2,5.236240932380145,26.16,27.282177524567967
2018-01-11,2018-01-14,3,1.8141628061929358,22.6,26.476906077124045
2018-01-12,2018-01-13,1,5.236240932380145,26.16,28.54012540244434
2018-01-12,2018-01-14,2,1.8141628061929358,22.6,27.664164066931118
2018-01-12,2018-01-15,3,4.167837558029375,23.1,27.193313270124996
2018-01-13,2018-01-14,1,1.8141628061929358,22.6,25.417788878822947
2018-01-13,2018-01-15,2,4.167837558029375,23.1,25.073172255468503
2018-01-13,2018-01-16,3,1.4257105335592393,21.8,24.333299258448854
2018-01-14,2018-01-15,1,4.167837558029375,23.1,22.413727918538008
2018-01-14,2018-01-16,2,1.4257105335592393,21.8,21.823301353926606
2018-01-14,2018-01-17,3,0.724531709741724,26.42,21.160032179124723
2018-01-15,2018-01-16,1,1.4257105335592393,21.8,22.471008644687153
2018-01-15,2018-01-17,2,0.724531709741724,26.42,21.77134181248564
2018-01-15,2018-01-18,3,0.42586970965881926,27.25,21.065833442737706
2018-01-16,2018-01-17,1,0.724531709741724,26.42,21.138040235651367
2018-01-16,2018-01-18,2,0.42586970965881926,27.25,20.46811999985386
2018-01-16,2018-01-19,3,1.9657987552215366,27.71,20.06868988410478
2018-01-17,2018-01-18,1,0.42586970965881926,27.25,25.45326210498542
2018-01-17,2018-01-19,2,1.9657987552215366,27.71,24.773693882070713
2018-01-17,2018-01-20,3,4.781308625337679,29.55,24.55803151605915
2018-01-18,2018-01-19,1,1.9657987552215366,27.71,26.469464795128243
2018-01-18,2018-01-20,2,4.781308625337679,29.55,26.158509247146707
2018-01-18,2018-01-21,3,17.649005150383026,26.54,27.81068145667109
2018-01-19,2018-01-20,1,4.781308625337679,29.55,27.32933306228549
2018-01-19,2018-01-21,2,17.649005150383026,26.54,28.915711286306472
2018-01-19,2018-01-22,3,2.7449704566733604,31.06,28.159386362792645
2018-01-20,2018-01-21,1,17.649005150383026,26.54,31.011588715626374
2018-01-20,2018-01-22,2,2.7449704566733604,31.06,30.137486781243297
2018-01-20,2018-01-23,3,4.009407526005839,36.41,29.503693248510256
2018-01-21,2018-01-22,1,2.7449704566733604,31.06,25.917177241295644
2018-01-21,2018-01-23,2,4.009407526005839,36.41,25.52054234942802
2018-01-21,2018-01-24,3,18.95154209858547,34.56,27.405514318216316
2018-01-22,2018-01-23,1,4.009407526005839,36.41,30.374366198426525
2018-01-22,2018-01-24,2,18.95154209858547,34.56,31.986579437995417
2018-01-22,2018-01-25,3,3.4123019828395162,32.11,31.158591817634168
2018-01-23,2018-01-24,1,18.95154209858547,34.56,37.683043163157784
2018-01-23,2018-01-25,2,3.4123019828395162,32.11,36.53494499592527
2018-01-23,2018-01-26,3,6.2209329198393135,29.06,35.87604141652012
2018-01-24,2018-01-25,1,3.4123019828395162,32.11,33.58740001955398
2018-01-24,2018-01-26,2,6.2209329198393135,29.06,33.094132575097966
2018-01-24,2018-01-27,3,1.7547171540420479,31.21,31.95327214037591
2018-01-25,2018-01-26,1,6.2209329198393135,29.06,31.69975447072234
2018-01-25,2018-01-27,2,1.7547171540420479,31.21,30.637250567187404
2018-01-25,2018-01-28,3,2.5073885563387757,30.05,29.748260963833516
2018-01-26,2018-01-27,1,1.7547171540420479,31.21,28.145836064557237
2018-01-26,2018-01-28,2,2.5073885563387757,30.05,27.396850522915724
2018-01-26,2018-01-29,3,1.98538640934243,28.58,26.611024852071928
2018-01-27,2018-01-28,1,2.5073885563387757,30.05,30.28882496670157
2018-01-27,2018-01-29,2,1.98538640934243,28.58,29.34048592521191
2018-01-27,2018-01-30,3,2.4962522922140007,27.64,28.522683649428743
2018-01-28,2018-01-29,1,1.98538640934243,28.58,29.11508163393037
2018-01-28,2018-01-30,2,2.4962522922140007,27.64,28.3099458639709
2018-01-28,2018-01-31,3,0.15225136497993988,23.49,27.195630874304143
2018-01-29,2018-01-30,1,2.4962522922140007,27.64,27.804932932787047
2018-01-29,2018-01-31,2,0.15225136497993988,23.49,26.71899694689841
2018-01-29,2018-02-01,3,3.2373450427775987,21.23,26.160564782336053
2018-01-30,2018-01-31,1,0.15225136497993988,23.49,26.563332355640224
2018-01-30,2018-02-01,2,3.2373450427775987,21.23,26.013647701786315
2018-01-30,2018-02-02,3,0.07286187555282407,19.14,25.016368238785144
2018-01-31,2018-02-01,1,3.2373450427775987,21.23,23.11302005358335
2018-01-31,2018-02-02,2,0.07286187555282407,19.14,22.278740224659497
2018-01-31,2018-02-03,3,0.032925984759396544,17.41,21.485303937058212
2018-02-01,2018-02-02,1,0.07286187555282407,19.14,20.501535745124226
2018-02-01,2018-02-03,2,0.032925984759396544,17.41,19.807968766851317
2018-02-01,2018-02-04,3,0.7258645530577527,15.79,19.258151948989212
2018-02-02,2018-02-03,1,0.032925984759396544,17.41,18.522943989405388
2018-02-02,2018-02-04,2,0.7258645530577527,15.79,18.04533863537379
2018-02-02,2018-02-05,3,0.733189545262214,14.07,17.595679698910093
2018-02-03,2018-02-04,1,0.7258645530577527,15.79,16.994936097344972
2018-02-03,2018-02-05,2,0.733189545262214,14.07,16.604304119904665
2018-02-03,2018-02-06,3,0.0,12.46,16.1247619883254
2018-02-04,2018-02-05,1,0.733189545262214,14.07,15.467078934394744
2018-02-04,2018-02-06,2,0.0,12.46,15.051442726492539
2018-02-04,2018-02-07,3,0.10250638644205813,11.85,14.674662460235858
2018-02-05,2018-02-06,1,0.0,12.46,13.73287209536952
2018-02-05,2018-02-07,2,0.10250638644205813,11.85,13.430188389045757
2018-02-05,2018-02-08,3,0.0,10.69,13.129014447182119
2018-02-06,2018-02-07,1,0.10250638644205813,11.85,12.228844842299496
2018-02-06,2018-02-08,2,0.0,10.69,11.995179930297759
